授業回,価値,興味,学生,期待
2,5,4,94,10
3,6,5,94,10
4,6,4,94,10
5,6,7,94,10
6,6,7,94,10
7,5,6,94,10
8,3,3,94,10
9,6,4,94,10
10,6,5,94,10
11,5,5,94,10
12,5,6,94,10
13,6,6,94,10
14,3,3,94,10
15,6,7,94,10
1,5,6,95,9
2,6,7,95,9
3,4,5,95,9
4,6,5,95,9
5,5,6,95,9
6,6,7,95,9
7,5,5,95,9
8,3,3,95,9
9,3,7,95,9
10,5,6,95,9
11,6,7,95,9
12,5,6,95,9
13,5,6,95,9
14,6,7,95,9
15,5,6,95,9
1,8,11,96,11
2,8,10,96,11
3,10,8,96,11
4,8,13,96,11
5,9,7,96,11
6,9,12,96,11
7,10,8,96,11
8,6,10,96,11
9,9,12,96,11
10,5,7,96,11
11,8,8,96,11
12,8,6,96,11
13,9,12,96,11
14,8,10,96,11
15,10,8,96,11
1,7,7,97,8
2,6,7,97,8
3,6,7,97,8
4,9,8,97,8
5,7,9,97,8
6,10,8,97,8
7,7,10,97,8
8,7,4,97,8
9,6,5,97,8
10,5,8,97,8
11,7,6,97,8
12,7,3,97,8
13,8,10,97,8
14,8,10,97,8
15,8,9,97,8
1,5,4,98,10
2,4,5,98,10
3,6,6,98,10
4,6,7,98,10
5,5,4,98,10
6,6,6,98,10
7,5,7,98,10
8,4,3,98,10
9,5,5,98,10
10,4,3,98,10
11,3,6,98,10
12,5,5,98,10
13,5,5,98,10
14,4,5,98,10
15,4,4,98,10
1,8,7,99,8
2,7,9,99,8
3,7,6,99,8
4,8,9,99,8
5,10,10,99,8
6,6,11,99,8
7,8,5,99,8
8,6,4,99,8
9,7,6,99,8
10,8,9,99,8
11,8,7,99,8
12,5,9,99,8
13,5,5,99,8
14,6,6,99,8
15,5,9,99,8
1,7,7,100,11
2,7,6,100,11
3,7,9,100,11
4,10,8,100,11
5,9,8,100,11
6,9,8,100,11
7,9,7,100,11
8,7,5,100,11
9,5,11,100,11
10,6,9,100,11
11,7,7,100,11
12,4,8,100,11
13,6,6,100,11
14,7,5,100,11
15,8,8,100,11
