Year,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C3803,C3804,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,F3106,G5105,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2017,R10000,åQînåß,1960000,968000,992000,1913000,945000,969000,241000,124000,118000,1151000,593000,558000,567000,251000,316000,13279,6836,6443,1.47,22585,11727,10858,26181,15507,10674,29812,16772,13040,8329,3154,14.9,32,-0.2,90,1192.5,12422,2367889,1197,30235,227,12561,30400,59400,163,1504,13891,312,6882,102310,168,4138,54421,18551,18117,81,3820,52867,17071,8861,8,13,165,1726,1895,26996,874,62,6143,568,70,22,10028,1885,48320,188049,267201,14574,15256,12811,45639,14143,6399,4982,2721,1315596,767386,292715,252527,117,1563,979,416,42745,2,42964,4172,288088,71405,14455,19495,11389,12055,15476,44788,7049,27396,64582
2016,R10000,åQînåß,1967000,971000,996000,1926000,950000,975000,247000,126000,120000,1163000,598000,565000,558000,246000,311000,13661,7127,6534,1.48,22125,11486,10639,26344,15485,10859,29080,16451,12629,8444,3241,15.6,31.5,-0.2,99,1249,12474,2474789,1225,30192,228,12685,30500,59200,175,1616,16282,316,6891,103990,169,4167,55957,19172,18741,81,3827,52890,17056,8902,8,13,169,1734,1978,26748,972,51,6181,574,68,24,9577,1784,51425,202388,255851,16054,16547,14059,45098,13786,6582,4861,2331,1297306,792670,253944,248888,116,1561,977,401,41187,5,41593,4438,268603,70242,12391,18026,9164,11524,11909,41398,8953,27206,57790
2015,R10000,åQînåß,1973115,973283,999832,1930380,952638,977742,250884,128450,122434,1165780,596669,569111,540026,238250,301776,14256,7137,7119,1.49,21519,11146,10373,27117,16063,11054,29266,16418,12848,8820,3463,15.6,31.2,0.1,105,1232,12450,2492436,1248,30065,226,12204,30700,59200,189,1671,18019,321,6937,105827,171,4200,56744,19056,18656,81,3840,53016,17065,8978,8,13,142,1712,2053,27029,950,67,6284,564,70,24,9699,1781,54680,215308,234772,17236,17618,15020,39326,13518,6704,4580,2188,1274290,808651,235047,228148,117,1558,973,399,40657,0,41661,4823,266452,73793,12691,20518,9807,11382,13156,39006,7462,25646,52990
2014,R10000,åQînåß,1979000,975000,1004000,1945000,959000,986000,258000,132000,126000,1189000,609000,580000,529000,232000,297000,14522,7515,7007,1.44,21441,11127,10314,26519,15647,10872,28769,16255,12514,9089,3312,14.9,31.2,-1.1,90,1395.5,12215,2474555,1260,30014,221,12014,30900,59600,205,1851,20861,325,6961,107500,175,4210,57463,19255,18826,81,3861,53421,17441,9085,8,13,146,1695,2058,26946,957,75,6082,540,69,25,10123,1575,57565,229441,226462,17901,18443,15591,38939,11562,6305,3342,1871,1143476,764176,199729,177700,116,1555,978,390,39552,0,42185,5252,298658,67960,11631,20918,10699,13229,10078,53476,8961,29980,71726
2013,R10000,åQînåß,1986000,978000,1008000,1953000,963000,990000,262000,134000,128000,1209000,618000,591000,512000,224000,289000,14732,7480,7252,1.41,21661,11318,10343,26891,15613,11278,29325,16568,12757,9031,3511,15.2,33.5,-1,92,998.5,13809,2549999,1286,30435,221,11932,31400,60600,207,1893,21502,327,6990,109718,176,4235,57732,19402,18930,82,3856,53331,16877,8736,9,13,145,1685,2022,26994,913,65,6107,548,69,26,10181,1618,62458,261232,225364,19126,19491,16447,41167,14205,8073,3721,2395,1441113,990156,250602,198652,118,1555,976,401,40382,8,43205,5402,285730,65083,18316,21183,9730,11734,12750,47226,8472,28684,62551
2012,R10000,åQînåß,1994000,982000,1012000,1961000,967000,994000,267000,137000,130000,1229000,628000,601000,496000,216000,280000,14914,7569,7345,1.39,21169,11062,10107,27149,15872,11277,28447,16006,12441,9246,3520,14.7,34.3,-1.3,95,1074,11837,2306721,1306,31052,218,11985,32400,62700,209,1869,21895,333,7015,111769,176,4211,58045,19425,18937,82,3897,54133,17653,9029,9,14,165,1688,2040,27021,995,70,5658,532,72,26,9737,1494,68882,292806,242096,20437,20104,17294,49020,12234,6943,3520,1701,1222478,855842,177898,185984,119,1561,963,403,40580,8,43824,5443,275490,65787,12100,21740,10967,12105,10881,37503,8973,26386,69049
2011,R10000,åQînåß,2001000,985000,1016000,1967000,969000,998000,272000,139000,132000,1250000,638000,612000,479000,207000,272000,15637,7994,7643,1.41,20930,11006,9924,27260,15734,11526,28510,15904,12606,9147,3530,14.9,32.4,-1.8,91,1340,11698,2120390,1340,30525,205,11676,33600,65700,211,1893,21949,337,7082,114134,178,4181,58737,19934,19325,82,3908,53743,16874,8881,10,14,168,1676,2207,26146,1047,72,5373,581,72,26,9611,1463,73357,300914,209295,19501,19389,16920,48991,11925,6865,3459,1567,1199334,854752,165964,176068,120,1555,963,393,38895,10,42129,5335,285954,66772,13745,20208,9330,11223,12177,42701,8654,28398,72745
2010,R10000,åQînåß,2008068,988019,1020049,1964136,967096,997040,275225,140983,134242,1251608,637047,614561,470520,203593,266927,16023,8258,7765,1.46,20385,10633,9752,27335,15820,11515,28633,15954,12679,9679,3865,15.5,34.1,-0.3,119,1490.5,11910,2303922,1372,30956,204,11386,35100,69700,212,1884,22659,343,7076,115864,178,4092,58748,19438,18875,81,3868,53939,17007,8921,10,14,182,1639,2242,25016,1025,66,5140,576,69,31,9405,1455,77345,321451,184771,19410,19691,17369,51536,12910,7141,4129,1558,1273850,892306,163120,213084,120,1581,968,394,38555,58,42274,5336,300304,68237,13075,21347,10345,12751,11186,42510,10629,35876,74347
2009,R10000,åQînåß,2014000,991000,1023000,1976000,973000,1003000,275000,140000,134000,1270000,647000,622000,463000,200000,263000,16310,8465,7845,1.38,19421,10322,9099,28499,16682,11817,30381,17406,12975,10054,3837,15.1,30.4,0.2,101,986,10841,1897736,1375,30466,200,10779,36400,73500,214,1882,23251,344,7068,117138,178,4050,59734,20342,19707,81,3866,53567,17174,9340,10,14,181,1563,2267,23355,1049,79,4851,634,69,40,8936,1730,84009,385586,144076,17901,18073,15963,47942,12280,6516,4460,1188,1169501,825318,124455,211506,125,1576,961,411,39570,28,43737,5380,284298,68194,14170,18499,9174,12502,13200,35650,7708,32116,73085
2008,R10000,åQînåß,2017000,993000,1024000,1979000,975000,1005000,279000,143000,136000,1281000,653000,628000,452000,194000,257000,17044,8778,8266,1.4,18935,10163,8772,28777,16726,12051,31147,17702,13445,10397,3831,14.9,31.5,-1.5,112,1425,12845,2726104,1420,30677,202,10649,37300,76300,224,1901,24246,345,6958,118590,180,4082,59269,19417,18856,83,3920,53817,17018,9175,11,14,191,1548,2496,24203,1264,81,4778,590,70,41,9445,1831,78043,276387,263247,17729,17759,15511,47342,15659,7809,6017,1702,1451947,995616,181331,266310,126,1561,947,420,40230,31,44396,5337,283337,66784,24508,20001,9327,12209,11763,35741,5490,27616,69898
2007,R10000,åQînåß,2020000,994000,1025000,1983000,976000,1007000,283000,145000,138000,1292000,658000,634000,441000,190000,251000,16817,8579,8238,1.36,18498,9910,8588,28979,16836,12143,31845,17959,13886,10370,3914,15.3,33.5,0.5,93,1310.5,13086,2617702,1479,30972,196,10141,37600,77900,228,1935,25119,348,6898,118766,182,4072,59603,19722,19175,85,3949,54271,17532,9277,13,14,227,1569,2992,23249,1423,84,4967,593,70,41,10049,1916,61143,237244,372484,19924,18443,16298,54104,15663,7556,5697,2269,1476204,975451,231006,261036,127,1561,953,414,39790,75,44186,5271,278218,67306,14833,20014,8213,11292,10080,38442,8515,27459,72062
2006,R10000,åQînåß,2022000,996000,1026000,1987000,978000,1009000,288000,147000,140000,1304000,664000,640000,429000,184000,245000,17061,8696,8365,1.36,18061,9637,8424,29504,17169,12335,31960,18052,13908,10877,3899,14.8,32.2,-1.3,106,1479,15782,3516926,1565,36523,200,10099,38400,80600,235,1934,25698,349,6877,119741,182,4044,59191,19962,19303,90,4032,55879,18663,9427,13,14,228,1511,3498,22464,1728,134,4879,551,72,43,10429,2073,64550,252193,313319,21029,20901,18616,55336,18930,8888,6133,3691,1837622,1158801,389745,275095,128,1542,944,413,39362,61,43930,5251,293674,63204,28975,18949,8267,12160,11333,37534,11233,26577,75442
2017,R11000,çÈã åß,7310000,3648000,3662000,7174000,3582000,3592000,899000,461000,438000,4510000,2326000,2185000,1900000,862000,1039000,53069,27008,26061,1.36,65764,35789,29975,161538,88224,73314,146615,80586,66029,33728,12161,15.4,32.8,-0.4,93,1308.5,38075,7933836,694,22513,374,17660,110000,279700,563,6764,97257,819,20554,374119,446,12443,190182,64508,61755,196,11221,177514,56970,32535,13,28,237,4511,4153,113025,1851,38,22069,1319,108,28,20702,2930,142747,630139,692959,27725,32261,21774,239199,59280,14769,24056,20259,4739872,1746854,1947920,1035416,295,4261,3542,1187,103635,1258,102434,16083,301340,78135,18810,21888,10776,12941,14764,41201,18107,29933,54785
2016,R11000,çÈã åß,7289000,3639000,3651000,7169000,3581000,3587000,907000,465000,442000,4525000,2331000,2195000,1857000,843000,1014000,54447,28111,26336,1.37,63466,34667,28799,159389,86902,72487,143829,79789,64040,34199,12481,15.9,32.3,-0.5,101,1301,39625,7718981,709,22291,373,17214,106200,250200,574,6875,102070,820,20355,375064,446,12419,193238,65634,63174,196,11246,177926,57262,32957,13,28,241,4520,4325,114574,1928,62,22767,1395,107,27,20547,2709,151364,665150,613434,29370,34687,23109,227072,61962,15917,24945,20955,4997119,1887338,1985810,1115458,293,4225,3546,1134,99116,1026,97666,15589,328756,80706,25480,23409,10412,14163,13973,46246,20114,38281,55973
2015,R11000,çÈã åß,7266534,3628418,3638116,7111168,3553767,3557401,910805,466718,444087,4507174,2312460,2194714,1788735,812816,975919,56077,28740,27337,1.39,62565,34312,28253,162275,89130,73145,148747,82552,66195,34757,12667,16,31.6,0.4,101,1335,38169,7171291,712,21566,364,16171,105400,246100,590,6922,106391,820,20282,376578,449,12377,195156,65474,63208,196,11209,178227,57150,32493,13,30,242,4583,4498,116198,1998,55,22581,1325,107,28,20101,2522,162746,717708,553881,30674,36526,24069,200300,57357,15951,22314,18812,4700869,1900280,1779569,1003040,294,4180,3528,1068,93868,1097,93897,15031,315386,80321,19285,25015,10310,14417,13144,43633,12157,36206,60899
2014,R11000,çÈã åß,7247000,3621000,3626000,7151000,3579000,3572000,929000,476000,452000,4573000,2353000,2220000,1737000,792000,945000,55765,28703,27062,1.31,61269,33287,27982,157553,86265,71288,142644,79128,63516,35218,12484,15.3,31.7,-1.2,90,1387.5,37262,7371064,718,21247,362,15898,104800,243500,625,7277,112823,820,20260,378894,451,12298,196228,65547,63377,196,11142,178511,57093,32658,13,29,255,4438,4615,116750,1996,66,22911,1415,110,28,20051,2707,174829,767482,519034,32869,39179,25774,198806,55449,15862,20796,18541,4644213,1896178,1768829,960600,292,4148,3502,986,86046,905,87784,14381,329448,78388,22771,25347,13310,16120,13097,44549,21754,36960,57152
2013,R11000,çÈã åß,7228000,3614000,3614000,7140000,3576000,3564000,934000,479000,455000,4627000,2379000,2248000,1661000,757000,904000,57470,29418,28052,1.33,60264,32859,27405,157910,86573,71337,146356,81222,65134,36279,13138,15.6,33.9,-1.2,92,1251,43352,9111496,725,20847,361,15649,103400,240200,626,7268,114030,821,20127,382020,452,12332,196384,65774,63596,196,11087,176764,55057,31172,13,29,253,4414,4519,117272,1862,50,22843,1326,108,31,20147,2873,190599,865698,492403,34361,40998,26926,202547,62376,20091,21922,20211,5427524,2421073,1925993,1070479,292,4149,3489,977,85983,902,87178,14304,308737,74241,17449,24042,10585,13893,11745,41066,13896,39085,62735
2012,R11000,çÈã åß,7216000,3612000,3604000,7130000,3574000,3555000,940000,482000,458000,4687000,2407000,2280000,1585000,723000,862000,56943,29155,27788,1.29,59137,32440,26697,157961,86369,71592,147663,82078,65585,36776,13434,15.1,35.2,-1.6,101,1079,40384,8481803,747,20972,367,15613,107800,247200,627,7240,115352,822,20142,385264,449,12238,196960,65936,63683,201,11246,177631,57520,32464,14,29,248,4386,4386,117691,1868,72,22820,1366,107,31,19801,2896,210465,949601,479521,35673,42631,27919,240533,60100,18801,19930,21161,5215403,2266154,1978359,960612,296,4114,3437,952,83079,1075,84666,13548,314879,72512,22164,23740,10680,14441,12152,37698,25131,32835,63527
2011,R11000,çÈã åß,7209000,3612000,3597000,7119000,3573000,3546000,949000,486000,463000,4752000,2439000,2313000,1506000,687000,819000,58059,29918,28141,1.28,57670,31525,26145,159200,87177,72023,147057,81886,65171,36227,13547,15.4,33,-1.6,79,1324.5,39123,7654046,783,21321,368,15739,109000,241200,629,7279,115024,824,19949,390680,448,12136,197970,66325,63988,201,11197,175838,55086,31384,14,29,254,4374,4388,118690,1866,57,22034,1469,109,35,19136,3208,232411,1028226,472639,36469,43008,28890,242331,59446,18223,18570,21293,5208628,2199315,2028033,897662,294,4081,3418,887,76993,1186,78811,12580,317838,75422,24121,23737,10590,14865,14391,33600,14256,40037,66819
2010,R11000,çÈã åß,7194556,3608711,3585845,7054944,3540768,3514176,953668,488332,465336,4749108,2434894,2314214,1464860,668635,796225,59437,30805,28632,1.32,55487,30709,24778,162483,89662,72821,147059,81779,65280,39160,14325,15.8,34.8,-0.5,111,1307,39145,7071590,812,21585,372,15975,111700,247100,631,7268,114763,828,20012,394644,449,11965,196241,64231,61673,200,11178,175332,54160,30887,13,30,257,4409,4529,118325,2034,66,21866,1516,108,35,18570,3410,237810,1076410,396676,34930,41721,28482,258672,55110,18874,18390,17568,4864356,2286476,1690348,869733,296,4055,3407,863,74839,1310,77949,12238,319822,73840,19566,24059,10077,13828,13952,38142,14997,42992,68368
2009,R11000,çÈã åß,7161000,3597000,3565000,7074000,3557000,3516000,969000,496000,473000,4734000,2433000,2300000,1427000,657000,771000,59725,30754,28971,1.28,52374,29123,23251,168888,94454,74434,150805,84952,65853,39399,14584,15.5,30.8,0.8,96,1111.5,35394,6422563,826,22029,369,15728,115200,255500,632,7264,115501,828,19926,398034,448,11865,197933,67783,65181,203,11111,172305,54493,31045,13,29,267,4327,4678,117147,2002,93,21764,1751,108,34,18290,3139,252527,1168199,340423,32834,39905,27001,249685,54421,18305,20206,15547,4587988,2236254,1468373,866852,302,4004,3383,864,75418,1509,78916,11876,341562,77481,19701,23186,10877,16720,13598,38117,29916,44045,67921
2008,R11000,çÈã åß,7136000,3588000,3549000,7044000,3546000,3499000,975000,499000,476000,4777000,2455000,2322000,1361000,626000,735000,60520,30935,29585,1.28,51730,28731,22999,167624,93627,73997,152752,85920,66832,40604,14112,15.4,32.2,-1.1,106,1392.5,39208,9330140,855,22186,369,15664,122500,279700,638,7302,117683,829,19740,400306,448,11709,196860,65421,63196,206,11053,170961,53140,29890,15,28,287,4251,4953,119138,2303,134,22725,1599,110,34,19065,3260,207033,810102,511306,31796,38650,26329,234531,67598,19810,23523,23541,5679522,2461889,2200112,972481,305,3960,3338,883,76480,1216,79417,11926,337812,81273,20586,25215,11293,16082,13867,44223,19965,41255,64052
2007,R11000,çÈã åß,7106000,3576000,3530000,7020000,3536000,3484000,978000,501000,477000,4818000,2476000,2342000,1294000,594000,700000,60818,31261,29557,1.26,50134,27699,22435,169565,95646,73919,161021,90245,70776,40304,14201,15.8,34.3,1,90,1068,40380,9140205,876,22115,364,15255,120400,269200,642,7305,119421,830,19661,400250,451,11746,197321,64688,62444,208,11176,171185,54049,29737,15,28,311,4237,5741,117605,2766,187,22066,1476,112,34,20523,3547,173697,730807,624781,32735,40034,27056,258330,63602,19132,20450,23795,5512768,2385829,2247029,869645,307,3930,3307,865,74598,1217,77947,11181,348987,76014,21484,22014,10367,18709,14427,43183,26910,45633,70247
2006,R11000,çÈã åß,7079000,3564000,3515000,6997000,3526000,3471000,983000,503000,480000,4863000,2497000,2365000,1225000,561000,665000,61201,31335,29866,1.24,48579,26957,21622,169949,95414,74535,162241,91202,71039,40907,14117,15.3,32.6,-0.6,95,1438.5,47105,10047613,880,21796,357,14857,116900,254000,648,7221,120074,831,19654,404046,450,11604,195502,65767,63427,208,11324,173958,57018,30024,15,27,341,4031,6436,116160,2857,248,21531,1511,113,33,21789,3701,177979,759393,677093,35187,43203,29211,264610,77427,21546,23968,31543,6669984,2701462,2981031,969724,311,3865,3273,838,72424,1386,75658,10985,350189,79993,21382,21999,10587,19555,12607,46231,27097,41060,69678
2017,R12000,êÁótåß,6246000,3103000,3143000,6141000,3056000,3084000,755000,387000,368000,3799000,1950000,1849000,1692000,766000,926000,44054,22647,21407,1.34,59009,31977,27032,145367,80337,65030,129164,71997,57167,28680,10359,16.3,31.4,2.8,90,1250,30818,6993519,1328,55404,190,33706,72500,220200,520,5290,80085,805,18381,316441,402,10912,161500,54798,53223,183,9713,151839,49149,27348,8,27,205,4108,3393,101147,1658,207,21123,2604,97,19,19924,590,112270,532527,602897,23755,30123,20178,225923,51413,12680,21575,16816,4068406,1490614,1644724,914556,254,3759,3255,940,91435,1787,90202,12862,294940,79280,7803,21001,10554,12064,12696,42048,13670,36261,59563
2016,R12000,êÁótåß,6236000,3099000,3136000,6137000,3056000,3081000,762000,391000,371000,3818000,1959000,1860000,1655000,750000,905000,45387,23274,22113,1.35,56396,30736,25660,143081,79076,64005,127006,71421,55585,29610,10612,16.8,31.2,3,107,1604.5,30842,6358940,1333,54158,178,30761,72000,216300,534,5428,83985,816,18307,318489,405,10962,163368,55188,53591,183,9673,152551,49330,27450,10,27,201,4015,3633,100426,1704,197,21619,2457,99,18,19468,504,120302,556477,561963,25907,32688,21868,214735,50262,12425,21411,16286,3988514,1462873,1582383,932302,252,3778,3256,886,88407,1460,87543,12530,312146,80029,21073,19489,11172,12355,12963,43994,14250,36831,59989
2015,R12000,êÁótåß,6222666,3095860,3126806,6047216,3010553,3036663,762112,390766,371346,3779812,1930763,1849049,1584419,718312,866107,47014,24040,22974,1.38,56079,30309,25770,143390,79626,63764,132785,74645,58140,30204,10916,16.7,30.6,2.9,117,1615.5,29915,6088352,1351,49070,174,28289,71500,211900,541,5532,86946,820,18222,320755,406,11005,165031,55425,53999,183,9635,152419,48944,27433,10,27,208,3814,3605,99933,1615,172,21214,2492,98,18,18171,553,128666,592422,522976,27180,34138,23003,183875,47407,12471,18837,15850,3873265,1487374,1515954,853904,251,3751,3237,849,85461,1646,84829,11908,303766,75121,20240,20922,11309,13851,12302,41280,10692,32104,65944
2014,R12000,êÁótåß,6209000,3089000,3119000,6125000,3054000,3071000,778000,399000,379000,3848000,1972000,1877000,1571000,712000,859000,46749,23991,22758,1.32,53975,28943,25032,137199,76305,60894,128835,71681,57154,30578,10642,16.3,30.8,2,101,1495.5,29458,6903969,1377,51555,174,28744,71100,205700,563,5702,91277,830,18227,323173,407,10900,165446,55334,53943,185,9635,152666,49065,27192,10,27,220,3761,3705,100806,1761,166,21746,2522,98,18,17879,578,135257,624326,482584,28246,35429,23672,179625,44998,12316,16619,15986,3810980,1479990,1540384,783800,250,3710,3217,802,79915,1251,82649,11595,299210,74859,16722,22151,11241,12026,13858,43115,12232,31921,61085
2013,R12000,êÁótåß,6201000,3085000,3116000,6123000,3053000,3070000,785000,402000,382000,3903000,1997000,1906000,1505000,681000,824000,48343,24794,23549,1.33,53603,29062,24541,136645,75951,60694,134203,74895,59308,31375,11290,16.6,32.8,1.5,92,1446.5,33412,7328807,1416,52471,172,28784,70300,201600,569,5743,93295,838,18306,326144,407,10863,166059,55647,54283,185,9552,150964,47553,25649,10,28,215,4043,3875,102048,1711,159,21869,2635,98,19,17834,669,145862,704172,463856,30322,38429,25808,183227,49986,15609,17647,16458,4351094,1877896,1579421,869165,245,3720,3221,759,76687,1340,78768,10685,280173,72684,16458,21492,11090,11756,13611,31777,8895,29966,62444
2012,R12000,êÁótåß,6200000,3087000,3113000,6125000,3056000,3069000,791000,406000,386000,3966000,2027000,1938000,1437000,650000,787000,48881,25169,23712,1.31,53206,28934,24272,132651,73890,58761,140839,78729,62110,32150,11521,15.9,32.3,1.1,119,1614,29857,6531702,1435,52136,173,28242,73600,196400,572,5783,95757,847,18310,329632,408,10750,165610,54860,53478,185,9649,151537,49111,26389,10,29,245,4120,4192,105277,1766,197,22010,2841,104,25,17712,760,167433,798159,444806,31802,40661,27257,218666,44807,14236,14786,15463,3949095,1721932,1483524,723888,243,3688,3205,751,76110,1352,77685,10700,260208,68241,13504,20496,9724,10496,13858,32011,10648,29359,51869
2011,R12000,êÁótåß,6217000,3097000,3120000,6138000,3064000,3073000,801000,411000,391000,4043000,2066000,1977000,1370000,619000,751000,50379,25770,24609,1.31,51689,28008,23681,138402,77175,61227,142337,78780,63557,32186,11591,16.3,31.1,1.6,90,1258.5,30021,5828327,1476,50424,171,27315,72300,200200,579,5648,96398,848,18343,335370,407,10697,165905,55569,53995,185,9539,149103,46565,25337,11,28,245,4074,4253,106202,1788,170,21585,3059,107,26,16817,726,184511,869204,406251,32237,41279,27975,226683,41783,14319,14050,12995,3711733,1731985,1274522,686243,244,3678,3190,667,67713,1432,68828,9413,293108,72460,19963,20386,13123,12317,16342,32988,11457,33545,60529
2010,R12000,êÁótåß,6216289,3098139,3118150,6023584,3008746,3014838,799646,409583,390063,4009060,2040885,1968175,1320120,597060,723060,51633,26687,24946,1.34,50014,27319,22695,151402,84507,66895,137215,77173,60042,34785,12391,16.6,32.8,2.7,107,1525,30393,5751026,1526,50287,173,27251,76700,205800,585,5632,97167,857,18293,337351,406,10622,164064,53963,52354,189,9540,147820,45990,25178,11,28,253,4028,4268,105588,1770,201,20732,3164,108,26,16706,774,189282,917006,340874,30897,39438,27221,247034,42837,14948,14537,13286,3802580,1816570,1311643,667985,248,3681,3180,689,70256,1373,72238,9729,298829,74675,18703,20114,10978,13977,17094,35624,16183,35825,55655
2009,R12000,êÁótåß,6180000,3083000,3097000,6104000,3051000,3053000,817000,420000,397000,4030000,2060000,1970000,1291000,586000,705000,51839,26774,25065,1.31,47819,26517,21302,162199,91578,70621,140507,79875,60632,35669,12494,16.3,29.7,3.4,110,1636.5,28162,5104764,1562,53661,177,28428,78800,214200,591,5667,98030,855,18218,338011,406,10579,165018,56030,54185,189,9487,145326,46579,25686,12,28,287,3993,4363,104722,1860,192,20858,3129,111,26,16330,790,200569,938180,294496,29462,37597,25997,245425,42920,14047,18254,10156,3561129,1713152,1036095,793940,249,3652,3146,704,70892,1293,72502,9619,295875,74050,9900,20689,9705,13072,15805,32306,14679,36882,68787
2008,R12000,êÁótåß,6153000,3071000,3082000,6072000,3036000,3036000,820000,421000,399000,4069000,2079000,1991000,1233000,559000,674000,52306,26877,25429,1.29,47149,25811,21338,166724,93638,73086,142546,80645,61901,36158,12187,16.1,31,1.5,119,1639,31035,7334131,1615,52113,175,27963,83500,231400,591,5682,99216,859,18156,338356,408,10482,163068,53584,51844,189,9542,145308,45982,25426,12,27,343,3885,4946,105768,2247,264,23314,3127,108,30,17291,824,169984,700119,398578,25948,34483,23086,227346,58266,14742,23434,19476,4679088,1833150,1914866,907545,249,3642,3132,714,72183,960,72974,9513,288192,71251,14756,20257,9630,12854,10703,38540,13933,37492,58777
2007,R12000,êÁótåß,6119000,3056000,3063000,6041000,3021000,3019000,819000,420000,399000,4103000,2095000,2008000,1176000,532000,644000,51821,26576,25245,1.25,45473,25197,20276,167172,94074,73098,147540,83606,63934,35751,12352,16.6,32.6,4,101,1190,33191,7846339,1643,48312,173,26070,83100,225600,594,5636,98875,863,18082,336900,407,10440,162490,53415,51749,195,9674,146669,46364,24700,14,26,371,4095,5568,109054,2450,281,22966,3019,111,31,18771,836,148670,653150,497791,26088,35012,22944,247299,57918,14506,20814,21871,4830249,1814493,2140456,819518,252,3697,3121,700,71024,974,72497,9294,322247,78133,12071,19924,10485,16100,12067,38145,19816,41480,74025
2006,R12000,êÁótåß,6084000,3041000,3043000,6010000,3008000,3002000,820000,420000,400000,4136000,2112000,2024000,1118000,505000,614000,51762,26580,25182,1.23,44778,24628,20150,162526,91668,70858,150128,85594,64534,36389,12440,16,30.8,1.6,112,1726,37997,9824136,1665,42658,173,24004,80400,206800,596,5562,99141,864,18052,337457,407,10286,161139,54625,52944,197,9824,149979,49561,25362,16,26,388,3993,6361,107890,2804,352,22485,2916,109,31,20128,858,156657,683998,504510,26871,36697,23895,250884,71912,16013,22035,33168,6242399,2026275,3263212,906613,251,3672,3073,686,69811,1066,71440,9259,309106,72539,22306,19508,8248,13386,13571,40126,16278,39099,64045
2017,R13000,ìåãûìs,13724000,6760000,6964000,13273000,6538000,6735000,1542000,788000,754000,9021000,4605000,4417000,3160000,1368000,1793000,108990,55818,53172,1.21,116451,61471,54980,419283,218753,200530,343785,187715,156070,84991,23055,15.8,31.8,1.7,95,1430,47297,14619926,2024,169224,718,110641,342600,1824500,995,11120,157418,1335,34036,601414,807,19471,304199,102257,98452,429,19340,316903,101782,65814,38,138,834,51214,13406,665984,6172,1057,154073,14765,403,154,145719,24696,326193,1505384,2743679,99432,71673,60945,706090,141935,15301,71261,54725,8652536,1752972,4059993,2783052,597,13257,10632,2414,235571,8586,226588,40286,333072,86412,26131,21059,12732,14819,16237,33565,20301,37046,64771
2016,R13000,ìåãûìs,13624000,6717000,6907000,13207000,6514000,6693000,1535000,784000,751000,8969000,4583000,4386000,3120000,1350000,1771000,111962,57359,54603,1.24,113415,59824,53591,413444,218211,195233,339267,185944,153323,86009,23470,16.4,31.6,1.8,113,1779,48868,16148737,1939,154859,693,102246,332800,1699300,1004,11191,161275,1339,33414,594053,808,19387,306820,103274,99640,429,19259,318447,102326,67416,38,137,843,51115,14241,659782,6432,1123,152640,14955,402,152,145607,24038,342829,1572540,2725410,107565,76500,65337,663081,153621,16309,75183,61640,9762017,1894326,4818825,3011526,601,13184,10658,2234,219392,8466,212963,37125,321147,84980,27212,20669,11039,14572,14951,32043,18794,35661,61225
2015,R13000,ìåãûìs,13515271,6666690,6848581,12948463,6388206,6560257,1518130,776017,742113,8734155,4448525,4285630,3005516,1301249,1704267,113194,58192,55002,1.24,111673,59164,52509,426084,225877,200207,344388,189163,155225,87167,24135,16.4,30.5,1.8,115,1781.5,49152,14442309,1891,149286,682,100122,323800,1551400,1010,11099,165348,1351,33191,592158,815,19586,310874,104543,101314,429,19242,316933,100422,66741,39,137,870,50497,14909,654383,6668,1280,151441,14679,404,155,144909,22068,365812,1695737,2584202,115762,85402,72918,565916,141862,16582,65538,58938,9073954,1964290,4350305,2712085,598,12944,10620,2111,209802,7814,205280,35349,331229,84843,27287,23340,10841,15841,14967,33797,19518,36931,63863
2014,R13000,ìåãûìs,13399000,6612000,6788000,13049000,6447000,6602000,1517000,776000,741000,8862000,4531000,4331000,3011000,1301000,1710000,110629,56541,54088,1.15,111023,58865,52158,404736,214691,190045,331456,181607,149849,87000,23653,16.6,31.2,2.5,106,1808,50685,15165430,1869,143848,675,98644,317000,1445700,1023,11167,170673,1355,32658,587983,817,19491,311841,104164,101068,431,19059,316058,100635,67159,43,139,919,50040,15568,651905,7070,1310,151880,15171,409,157,144840,22233,395492,1809922,2448814,120679,89276,75679,531802,140430,17348,59921,61170,9432825,2032318,4745549,2524946,592,12780,10579,1868,188319,8672,188888,31994,324999,82178,26834,23744,11710,15671,15648,35849,13984,38221,61161
