A1,A2,A3,C1,C2,C3,M1,M2,M3,P1,P2,P3
4,4,3,2,2,3,3,3,4,2,3,3
3,4,3,3,4,4,4,4,3,4,3,3
3,3,3,4,2,3,3,2,3,3,4,3
3,3,2,3,2,3,3,3,3,3,3,3
4,4,4,4,4,4,4,3,3,4,4,4
3,3,4,3,4,4,4,3,3,3,3,3
3,4,3,4,4,2,3,3,3,3,3,3
4,4,3,4,3,3,4,4,3,4,3,4
4,3,4,3,3,3,4,4,3,3,3,2
4,4,3,3,3,3,4,4,3,4,4,3
3,3,2,4,4,5,3,3,4,4,4,4
2,3,4,4,3,3,3,2,3,3,3,3
3,2,3,3,2,3,3,3,3,4,2,3
3,3,4,3,3,3,4,4,3,3,3,3
4,3,3,3,3,4,3,2,4,4,4,2
4,4,2,3,2,4,4,3,3,3,3,4
2,2,2,3,2,2,1,2,2,2,2,2
3,3,3,2,2,2,2,2,2,3,3,3
3,3,3,3,2,2,4,3,3,2,3,2
4,4,4,3,2,4,4,3,3,3,3,4
4,4,4,3,4,4,4,4,4,3,4,4
4,3,4,4,4,4,3,3,3,3,4,4
3,4,3,3,4,5,4,3,4,3,3,2
5,4,5,4,3,4,3,4,3,3,4,3
4,2,4,3,3,4,3,2,2,2,3,2
4,4,4,4,5,4,3,3,4,3,4,4
3,4,3,3,3,2,4,4,4,4,3,3
3,3,2,3,3,3,2,2,3,2,2,3
3,3,3,3,3,2,4,4,4,4,3,4
3,2,4,3,3,3,3,4,4,4,3,3
3,3,3,3,3,2,3,3,2,3,3,4
4,3,3,3,4,4,4,3,4,3,3,4
2,2,2,3,4,3,3,3,3,3,2,3
1,3,2,3,2,2,3,3,2,4,3,3
4,3,4,3,4,3,3,3,4,3,3,3
3,2,4,3,4,3,3,3,2,3,2,3
4,4,4,3,4,4,4,4,4,3,4,4
3,3,3,4,4,4,3,4,2,3,3,4
3,3,2,4,4,4,3,3,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3
4,4,4,3,3,3,4,4,3,3,3,3
3,3,4,3,3,5,4,3,4,3,4,3
3,4,3,4,4,3,4,3,2,3,3,3
3,3,3,3,4,2,3,2,4,4,4,3
4,3,4,3,3,4,3,2,3,2,2,3
3,3,3,3,3,4,4,4,3,4,2,3
3,2,3,2,2,3,3,3,3,3,3,3
4,3,3,3,4,2,3,3,3,2,3,3
4,4,4,3,3,4,3,4,3,3,3,4
3,4,4,4,3,3,4,4,3,4,3,4
3,2,3,3,2,2,4,3,3,3,2,3
3,4,4,4,4,4,4,4,3,3,4,3
3,3,3,3,2,3,3,2,3,3,3,3
3,3,3,4,4,3,3,3,3,2,2,2
4,4,3,3,3,4,4,4,4,3,2,3
3,4,4,4,3,4,2,4,3,4,4,4
4,3,4,3,3,3,3,3,4,3,4,3
4,3,3,3,4,2,4,3,3,2,3,3
2,3,4,4,4,4,2,2,2,3,3,3
3,2,3,2,2,2,3,3,3,2,3,2
4,4,3,3,4,4,3,4,4,4,3,4
2,3,3,4,4,2,3,3,4,3,3,2
2,3,4,2,2,3,4,3,3,3,3,3
5,4,5,4,5,4,4,4,3,3,4,2
2,2,3,2,2,2,4,4,4,4,3,3
3,3,3,4,2,4,3,2,3,3,3,2
3,3,2,4,4,3,2,2,2,2,3,3
2,2,3,3,2,3,2,3,3,2,2,2
4,3,3,2,4,2,4,3,4,3,3,4
5,4,5,3,3,3,4,4,4,4,4,4
3,3,3,4,4,3,4,4,4,4,4,3
4,2,3,2,2,2,3,3,3,4,4,3
4,3,3,4,2,3,4,4,4,4,3,3
3,3,2,2,2,4,3,3,3,4,3,3
3,4,3,4,3,4,2,3,3,2,2,3
4,3,3,3,3,3,3,3,2,4,3,4
4,2,3,3,3,3,3,3,3,2,3,4
3,3,2,3,3,4,3,4,3,4,3,3
2,2,2,3,3,3,3,3,3,3,3,2
3,4,2,4,3,3,3,3,4,3,4,4
3,3,3,3,4,3,4,3,3,2,3,3
4,3,3,2,3,2,3,2,2,3,3,3
3,4,2,2,2,2,3,2,3,2,3,4
3,4,3,4,3,4,3,4,3,3,3,3
3,4,3,3,3,3,4,4,3,3,3,3
2,3,2,3,4,3,4,4,3,2,3,3
2,3,3,4,4,4,2,2,3,3,3,3
2,2,2,3,3,3,3,2,3,3,3,2
4,4,4,3,3,3,2,3,3,4,3,4
4,3,4,4,4,3,4,3,4,3,3,4
3,3,4,4,4,4,3,4,3,3,3,3
4,3,3,4,4,4,4,3,3,3,3,4
4,3,3,4,4,4,3,3,3,4,4,3
3,3,3,4,3,4,3,3,4,3,3,3
3,3,4,2,2,2,4,2,2,3,3,3
3,4,3,4,3,3,4,4,3,4,4,4
3,3,3,4,3,3,2,2,3,4,3,4
4,3,3,3,3,3,3,4,3,3,3,3
4,4,4,3,3,3,4,4,3,3,4,3
3,3,3,3,3,3,3,3,3,3,2,3
3,4,4,3,3,3,3,3,3,2,3,4
4,4,4,3,3,3,4,3,4,4,4,3
3,3,2,3,4,4,4,4,3,4,4,3
4,4,4,3,2,3,4,3,3,3,3,3
3,4,4,3,3,3,4,2,3,3,4,3
2,3,3,2,3,2,3,3,4,3,3,3
4,4,4,4,4,3,4,4,3,3,4,3
5,4,5,3,3,3,4,4,3,4,3,4
3,2,3,1,2,2,2,3,3,2,4,3
3,3,3,4,3,4,3,3,3,3,3,3
4,3,3,4,4,4,3,3,4,3,4,4
4,3,3,4,4,4,3,3,3,3,3,4
4,3,3,2,2,2,3,3,3,2,2,2
3,3,3,3,4,2,3,3,4,2,2,3
4,3,3,4,3,2,2,3,3,2,2,2
3,3,2,3,3,2,3,4,3,2,3,3
4,4,4,3,4,3,3,4,3,3,4,3
3,4,3,3,3,2,2,3,4,4,3,4
4,4,3,4,5,4,4,3,3,3,3,3
3,4,3,3,3,4,4,3,4,4,4,5
3,3,3,4,4,3,3,3,3,3,2,4
3,4,3,4,4,5,4,4,4,4,4,4
3,2,2,3,4,3,4,3,3,2,3,2
3,4,4,3,4,3,3,3,4,3,3,3
3,3,3,3,3,4,4,3,4,4,4,4
4,4,4,3,4,3,3,3,3,4,3,3
3,3,5,3,3,4,4,3,3,3,4,2
3,4,4,4,4,3,3,3,4,3,4,3
2,2,3,4,3,3,3,3,3,2,2,3
4,2,4,3,3,2,3,3,3,2,2,2
3,4,4,4,4,4,4,3,4,4,3,4
2,2,3,2,2,3,3,3,3,2,3,3
3,2,3,3,2,3,3,2,4,3,3,3
3,4,4,4,4,3,4,4,5,4,4,4
3,4,3,3,3,4,3,3,2,4,3,3
3,3,3,2,2,3,3,3,3,2,4,3
4,4,4,4,4,4,3,4,4,4,4,4
3,3,3,3,3,3,3,3,4,2,2,3
4,3,3,3,4,3,4,4,4,3,4,4
4,3,2,4,4,4,3,3,4,4,4,5
4,3,4,4,3,4,3,3,3,4,4,4
4,3,4,3,2,2,2,3,2,4,4,4
3,3,2,3,2,3,3,4,3,3,4,3
4,3,4,3,3,3,4,4,3,2,3,2
2,3,4,2,3,3,4,4,3,3,2,3
3,2,2,2,3,2,3,2,2,3,3,2
3,3,3,4,2,3,2,2,3,3,4,2
3,4,3,2,3,3,3,3,3,3,3,3
4,3,3,2,2,3,3,3,3,4,4,4
5,4,4,3,3,4,3,4,4,4,3,4
3,3,3,3,3,3,4,3,3,2,2,2
3,3,3,2,3,4,3,3,4,3,3,3
3,3,4,4,3,4,3,2,3,3,3,4
3,3,4,2,2,2,2,2,3,3,2,3
3,4,2,3,4,3,3,3,3,4,4,4
4,3,4,3,3,4,4,2,3,3,3,3
3,2,3,2,3,2,3,2,4,3,3,2
4,3,3,3,4,3,4,4,4,3,4,4
4,4,4,4,5,4,3,4,4,4,4,4
2,3,2,3,3,3,3,3,4,4,4,2
3,4,2,3,4,3,3,3,3,2,3,2
2,4,3,3,4,3,2,2,3,3,3,4
2,3,3,3,2,3,3,3,4,4,4,3
2,3,2,3,4,4,3,3,3,4,3,3
4,4,5,4,4,4,4,4,4,5,3,3
3,3,3,4,3,3,3,3,3,4,4,4
2,3,2,3,3,2,3,3,3,2,3,3
4,3,3,3,3,2,2,3,3,3,4,3
3,3,3,4,4,4,4,3,4,3,3,3
3,2,3,4,4,4,3,4,4,3,3,4
3,3,3,2,2,3,3,3,3,2,2,3
3,2,3,3,2,3,3,3,3,3,2,2
4,3,3,3,3,4,4,3,4,3,3,3
3,3,2,3,3,2,2,3,3,3,3,4
4,5,3,3,3,3,4,3,3,3,3,4
3,2,2,3,2,2,3,3,3,2,3,3
3,3,3,2,3,3,2,4,3,3,3,3
4,3,3,3,3,3,3,3,4,3,4,4
3,3,3,3,3,2,3,3,3,2,3,2
2,2,2,2,2,2,3,3,3,2,2,1
2,3,3,2,2,3,2,2,3,4,3,3
3,3,4,3,3,3,3,2,3,3,3,2
4,3,5,3,4,3,3,4,3,3,4,3
3,3,3,4,4,3,3,2,3,3,3,4
3,3,3,2,2,2,2,3,3,3,2,2
2,3,3,2,3,4,4,3,4,3,4,3
2,2,2,3,2,2,2,3,4,3,3,2
4,4,3,4,4,4,3,5,4,4,4,4
3,3,3,3,3,3,3,3,3,2,4,3
3,3,3,4,3,4,3,4,4,4,3,3
2,3,3,2,3,3,3,2,2,3,2,2
3,4,4,3,2,3,4,4,4,3,2,2
3,4,4,4,5,4,4,4,3,2,3,2
2,3,3,4,2,3,4,3,4,4,3,3
3,3,3,4,3,3,3,3,3,3,4,3
3,4,4,3,2,4,3,3,3,3,2,3
2,3,3,3,2,4,3,4,3,3,4,3
3,4,3,3,3,3,3,3,3,3,4,3
3,3,2,4,4,3,4,4,4,4,5,5
4,3,4,4,4,4,4,4,3,4,3,4
3,2,3,3,3,3,2,3,3,2,2,2
3,3,3,2,3,2,4,3,3,3,2,3
2,2,2,3,4,4,3,3,2,4,4,3
4,3,4,4,4,4,3,4,4,4,4,3
3,4,3,2,4,3,4,3,2,4,4,2
3,3,3,3,3,2,3,3,3,3,3,3
3,3,2,4,4,4,4,3,3,3,4,4
3,4,4,3,4,3,3,3,3,4,4,4
3,3,3,3,3,3,3,4,3,3,3,3
4,3,3,3,3,4,3,3,4,4,3,3
3,3,3,4,4,3,3,4,3,4,3,4
2,3,2,4,4,3,4,4,4,3,3,3
4,3,3,2,4,3,4,3,3,3,3,3
4,4,5,3,3,4,3,3,2,4,3,4
2,2,3,3,2,2,2,2,3,3,2,3
2,3,3,3,3,3,3,3,2,2,2,2
4,3,4,3,4,3,3,4,3,3,4,4
4,3,4,3,3,4,2,3,3,4,3,3
3,3,3,3,3,3,3,3,3,4,3,3
3,3,4,4,3,3,3,3,4,3,4,3
3,3,3,4,4,3,3,4,3,3,3,4
3,3,2,2,3,2,3,2,3,3,2,3
2,2,3,2,3,3,3,4,3,3,2,3
2,3,2,4,4,4,4,3,2,4,3,4
4,3,3,2,4,3,3,4,3,4,4,4
3,2,2,4,3,3,3,3,3,2,2,2
3,4,4,2,3,2,4,4,3,3,3,3
4,4,3,3,3,4,4,4,4,3,3,3
2,3,3,4,4,3,3,3,4,4,3,3
3,3,4,3,4,4,3,4,3,4,4,4
2,3,2,2,2,2,3,3,3,2,2,2
3,4,3,4,3,3,3,3,4,4,4,3
4,4,4,4,3,3,3,4,3,4,4,3
4,3,4,3,3,4,4,4,3,2,3,3
4,3,4,4,3,3,3,3,4,3,2,2
4,3,3,4,4,4,3,4,3,3,2,3
3,2,3,4,4,4,4,3,4,4,4,4
4,4,4,3,3,3,4,3,4,4,4,4
3,3,3,3,3,3,3,3,3,4,4,3
4,4,2,3,3,3,4,4,3,3,4,3
3,3,2,4,3,4,4,4,4,5,3,4
4,3,3,3,4,2,3,4,3,4,3,4
3,4,4,3,4,3,3,3,3,4,4,4
4,4,4,4,4,4,4,4,4,3,3,4
5,3,4,4,4,3,3,3,3,3,3,3
3,4,2,3,3,2,3,3,3,4,3,4
3,3,2,2,3,3,2,3,2,3,3,3
3,3,2,3,3,3,4,3,3,3,3,3
3,3,2,4,4,3,4,4,4,4,3,4
3,3,4,4,4,4,3,3,3,4,3,3
3,3,3,3,3,4,3,4,3,3,4,4
4,4,4,3,4,4,3,4,4,4,3,3
4,4,4,2,3,4,4,5,4,3,3,3
3,3,3,4,3,3,4,4,3,3,4,2
3,3,3,2,2,2,3,2,2,2,2,2
3,3,3,3,3,3,4,3,4,3,4,2
4,4,4,4,4,3,3,4,3,4,3,3
3,4,3,3,4,3,4,4,4,3,3,3
4,3,3,3,2,4,3,3,3,3,3,3
3,2,2,3,3,3,3,3,2,3,3,3
3,3,3,3,4,3,4,3,4,2,3,3
3,3,3,3,4,4,3,3,3,4,3,4
4,3,3,3,4,4,4,3,3,3,4,3
4,4,4,3,4,3,3,4,3,3,4,3
2,3,1,3,2,3,2,2,3,2,2,2
3,3,3,2,3,2,3,3,3,3,4,4
3,3,4,3,3,3,3,3,3,3,3,4
3,2,2,3,3,3,3,2,2,3,3,2
3,4,4,4,3,3,3,3,3,2,2,3
3,3,3,4,4,3,4,5,4,3,3,3
4,2,4,3,3,2,4,4,3,3,2,3
2,3,3,2,3,4,3,2,3,4,4,4
2,3,2,2,3,4,3,4,4,2,4,3
2,2,2,4,2,4,3,3,3,3,2,4
2,3,2,4,2,2,2,2,3,3,2,3
4,4,4,4,4,3,4,4,4,4,4,4
3,4,3,2,2,4,3,2,2,3,3,3
3,3,3,2,3,3,3,3,3,3,3,2
3,4,4,4,3,3,3,2,4,3,4,3
3,3,3,3,3,4,4,3,4,3,3,3
3,3,3,3,2,2,3,3,3,3,3,3
3,4,3,4,4,3,4,3,3,4,3,3
3,3,3,3,2,3,3,4,4,4,3,4
2,2,3,2,3,2,4,4,3,2,3,3
3,4,4,5,3,3,4,3,4,4,4,4
4,3,4,4,3,4,3,4,4,2,4,2
2,2,1,3,2,3,3,2,2,3,3,3
2,3,3,2,3,2,3,3,2,2,3,3
3,4,3,3,3,3,3,4,3,4,3,3
4,2,3,3,3,3,3,4,4,3,2,2
4,4,4,3,2,3,2,4,4,4,4,3
3,3,3,3,3,3,3,3,2,3,2,3
2,3,2,3,3,3,3,2,3,3,3,3
4,3,4,3,3,4,3,2,4,3,3,3
4,4,5,3,4,4,3,3,4,3,3,3
3,3,3,3,2,3,4,4,3,3,3,2
4,4,4,3,5,3,4,4,4,3,3,3
4,4,4,4,4,4,4,3,4,4,4,4
4,3,4,4,4,4,3,3,3,4,4,5
2,3,3,4,4,3,2,3,3,3,3,3
3,3,3,3,3,3,4,3,3,4,4,4
3,3,3,2,4,2,3,4,4,4,4,3
3,3,3,4,3,4,4,3,4,4,4,4
4,4,4,3,4,3,3,4,4,4,3,4
3,3,2,2,3,3,3,3,3,3,3,2
4,3,3,5,4,5,2,2,4,4,3,4
3,3,3,3,4,3,3,3,3,3,2,2
4,4,4,3,3,3,3,4,2,3,2,4
3,2,2,3,4,4,4,3,3,3,2,3
4,4,4,4,4,4,3,4,3,4,3,3
4,4,4,3,4,4,4,3,4,4,4,2
4,4,3,4,4,4,4,4,4,3,3,4
3,2,3,3,3,2,3,4,3,3,4,2
3,4,3,4,3,4,3,3,4,4,3,3
4,4,4,4,4,5,4,4,4,3,4,4
3,4,3,3,3,2,4,4,4,4,3,3
4,4,4,3,4,4,4,3,3,3,4,4
2,2,3,2,3,2,3,3,3,3,2,2
2,2,2,2,3,2,2,2,2,2,3,2
3,4,4,4,3,2,3,3,3,3,3,3
3,4,3,4,3,2,4,4,3,2,3,3
3,4,4,2,3,3,2,2,3,3,3,3
2,3,3,3,2,3,2,3,2,4,3,4
3,3,3,4,4,4,3,3,4,4,4,3
3,2,3,4,3,3,3,3,3,3,3,3
4,5,4,3,3,4,3,4,4,4,4,4
3,4,4,3,3,3,4,4,4,3,3,3
3,3,3,3,2,3,3,4,4,3,3,2
4,3,4,3,4,4,4,2,4,3,3,3
4,4,4,4,4,4,4,3,4,3,3,4
4,4,3,3,3,4,3,3,4,3,4,4
3,3,3,2,2,3,2,3,3,3,3,3
3,2,3,3,3,3,3,2,3,2,2,2
2,2,3,2,3,3,3,3,2,2,2,3
3,3,2,3,2,3,2,3,3,2,3,3
2,4,2,4,4,4,3,3,3,3,3,3
3,4,4,3,4,3,3,3,4,4,4,4
4,4,3,4,4,3,4,3,4,4,4,3
3,4,4,4,3,4,4,4,4,2,3,3
4,4,4,4,4,4,4,3,3,4,4,4
4,3,3,4,3,4,3,3,2,3,3,3
4,3,3,3,3,3,3,2,4,3,4,4
3,3,3,4,4,3,3,3,3,3,2,4
4,4,4,3,4,2,4,3,4,4,4,4
2,3,4,3,2,3,3,4,3,2,3,3
3,4,3,4,4,3,3,4,3,3,3,3
3,3,2,4,3,3,3,4,4,2,3,2
3,3,3,4,3,4,3,3,3,3,3,2
3,2,2,3,3,3,2,3,3,4,3,4
4,4,3,4,3,3,4,3,3,3,4,3
2,2,3,3,3,2,4,3,2,3,2,3
3,2,3,2,3,2,3,4,2,3,3,2
4,3,4,4,5,5,2,4,4,2,3,4
4,3,3,3,2,3,3,3,3,2,3,3
3,3,3,2,4,3,3,2,4,3,3,3
4,3,3,4,4,4,3,2,4,3,2,2
4,4,4,3,3,3,4,4,4,3,5,5
4,4,3,2,3,3,3,3,3,4,4,4
4,3,4,3,4,3,4,3,3,4,4,3
3,3,2,3,4,3,3,2,2,4,3,4
4,3,3,4,4,4,3,3,3,4,3,3
2,2,3,3,3,3,2,3,3,3,3,3
2,2,2,4,4,3,3,3,3,3,3,3
2,2,3,3,3,3,4,4,3,2,3,2
2,3,3,3,2,2,3,3,3,3,2,3
3,3,3,3,3,4,3,3,2,2,2,2
3,2,2,4,3,3,3,3,3,3,3,3
3,4,3,3,3,4,4,3,4,3,2,2
3,3,3,2,3,3,2,3,4,2,3,2
4,4,4,3,3,4,4,3,3,2,2,2
4,2,3,3,3,3,2,2,2,3,3,4
4,3,2,3,5,4,4,4,3,4,3,3
4,4,3,3,3,3,3,3,3,3,3,3
3,3,4,3,3,4,4,4,4,2,3,3
3,3,4,4,4,5,4,4,4,3,4,3
3,4,4,3,4,4,4,4,3,3,3,4
4,4,4,4,5,5,4,4,4,4,4,4
3,3,3,4,3,3,3,3,3,3,3,3
3,4,3,2,3,2,3,3,2,3,3,2
3,3,3,4,3,3,4,3,3,3,3,3
4,4,4,3,3,3,4,5,4,4,3,4
4,4,4,3,4,4,4,4,4,4,4,4
3,3,3,3,2,3,4,4,4,3,3,4
4,3,3,3,4,3,3,2,3,4,3,3
5,4,4,4,3,3,4,4,4,4,4,4
4,4,3,4,3,3,4,2,3,3,4,3
3,3,2,4,4,3,3,3,3,3,3,3
3,3,3,2,3,2,3,3,4,3,3,3
3,3,4,3,3,3,3,4,3,3,3,3
3,3,4,4,3,3,2,3,3,4,4,4
3,4,4,2,3,3,3,4,4,4,4,4
4,3,4,3,3,4,3,4,3,3,4,4
4,4,4,3,3,4,4,4,4,5,4,5
4,4,3,4,4,3,2,4,4,4,3,3
3,3,3,4,3,3,3,3,3,5,4,4
3,3,4,3,3,4,4,4,4,3,3,2
4,4,4,3,3,3,2,3,2,3,3,3
3,4,3,3,2,3,2,3,3,3,4,3
4,4,4,3,3,4,3,3,4,4,4,4
4,3,4,3,3,3,3,3,3,3,4,3
2,2,2,3,3,2,3,2,2,3,2,2
3,3,4,4,2,3,3,2,3,3,3,3
2,3,2,1,2,2,3,3,3,3,3,2
2,3,3,4,3,4,3,3,3,4,3,4
3,3,3,4,3,3,3,3,3,2,2,2
3,3,3,4,4,3,3,3,4,4,3,3
2,3,3,4,4,4,2,2,3,3,3,4
3,3,3,3,3,2,2,3,3,4,3,4
3,3,3,3,3,4,4,4,3,2,3,2
3,3,3,3,3,3,3,3,3,2,3,4
4,3,3,4,4,4,3,3,3,4,3,3
3,3,3,3,2,4,4,4,4,4,3,3
5,4,4,3,3,2,2,4,3,3,2,4
3,3,2,3,3,4,3,3,2,3,3,4
4,3,3,2,2,2,3,2,2,2,3,3
3,3,4,3,3,3,3,2,3,3,4,3
4,3,2,2,4,2,3,3,3,3,4,3
3,4,4,4,4,4,4,4,4,4,4,4
4,4,5,4,3,3,4,4,3,4,3,3
3,4,3,3,3,3,4,4,4,3,3,3
