5,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,一般世帯総数（住居の種類・住宅の所有の関係）,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,一般世帯人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,1世帯当たり人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」
2208,"13114","013002","3","","","","東京都","中野区","丸山","２丁目",1645,1638,1611,582,80,911,38,27,7,-,2967,2951,2907,1427,137,1244,99,44,16,-,1.8036474164,1.8015873016,1.8044692737,2.4518900344,1.7125000000,1.3655323820,2.6052631579,1.6296296296,2.2857142857,-
2209,"13114","0140","2","","","","東京都","中野区","野方","",12819,12749,12557,4332,167,7886,172,192,70,-,21019,20912,20613,10269,287,9760,297,299,107,-,1.6396754817,1.6402855126,1.6415545114,2.3704986150,1.7185628743,1.2376363175,1.7267441860,1.5572916667,1.5285714286,-
2210,"13114","014001","3","","","","東京都","中野区","野方","１丁目",3008,2998,2948,998,60,1847,43,50,10,-,4867,4856,4786,2359,111,2248,68,70,11,-,1.6180186170,1.6197464977,1.6234735414,2.3637274549,1.8500000000,1.2171088251,1.5813953488,1.4000000000,1.1000000000,-
2211,"13114","014002","3","","","","東京都","中野区","野方","２丁目",2818,2806,2765,1137,-,1618,10,41,12,-,4898,4868,4798,2853,-,1927,18,70,30,-,1.7381121363,1.7348538845,1.7352622061,2.5092348285,-,1.1909765142,1.8000000000,1.7073170732,2.5000000000,-
2212,"13114","014003","3","","","","東京都","中野区","野方","３丁目",1586,1585,1554,521,13,1010,10,31,1,-,2657,2652,2614,1258,35,1293,28,38,5,-,1.6752837327,1.6731861199,1.6821106821,2.4145873321,2.6923076923,1.2801980198,2.8000000000,1.2258064516,5.0000000000,-
2213,"13114","014004","3","","","","東京都","中野区","野方","４丁目",2011,2005,1975,678,-,1256,41,30,6,-,3263,3255,3198,1537,-,1593,68,57,8,-,1.6225758329,1.6234413965,1.6192405063,2.2669616519,-,1.2683121019,1.6585365854,1.9000000000,1.3333333333,-
2214,"13114","014005","3","","","","東京都","中野区","野方","５丁目",1305,1274,1259,429,37,741,52,15,31,-,2128,2095,2069,955,59,974,81,26,33,-,1.6306513410,1.6444270016,1.6433677522,2.2261072261,1.5945945946,1.3144399460,1.5576923077,1.7333333333,1.0645161290,-
2215,"13114","014006","3","","","","東京都","中野区","野方","６丁目",2091,2081,2056,569,57,1414,16,25,10,-,3206,3186,3148,1307,82,1725,34,38,20,-,1.5332376853,1.5309947141,1.5311284047,2.2970123023,1.4385964912,1.2199434229,2.1250000000,1.5200000000,2.0000000000,-
2216,"13114","0150","2","","","","東京都","中野区","大和町","",9566,9524,9324,3115,105,5978,126,200,42,-,15630,15566,15282,7361,225,7475,221,284,64,-,1.6339117709,1.6343973121,1.6389961390,2.3630818620,2.1428571429,1.2504182001,1.7539682540,1.4200000000,1.5238095238,-
2217,"13114","015001","3","","","","東京都","中野区","大和町","１丁目",3335,3321,3241,867,-,2319,55,80,14,-,5095,5074,4964,1939,-,2949,76,110,21,-,1.5277361319,1.5278530563,1.5316260413,2.2364475202,-,1.2716688228,1.3818181818,1.3750000000,1.5000000000,-
2218,"13114","015002","3","","","","東京都","中野区","大和町","２丁目",1984,1975,1943,685,-,1251,7,32,9,-,3226,3217,3166,1635,-,1516,15,51,9,-,1.6260080645,1.6288607595,1.6294390118,2.3868613139,-,1.2118305356,2.1428571429,1.5937500000,1.0000000000,-
2219,"13114","015003","3","","","","東京都","中野区","大和町","３丁目",2250,2237,2200,725,-,1440,35,37,13,-,3542,3523,3477,1699,-,1729,49,46,19,-,1.5742222222,1.5748770675,1.5804545455,2.3434482759,-,1.2006944444,1.4000000000,1.2432432432,1.4615384615,-
2220,"13114","015004","3","","","","東京都","中野区","大和町","４丁目",1997,1991,1940,838,105,968,29,51,6,-,3767,3752,3675,2088,225,1281,81,77,15,-,1.8863294942,1.8844801607,1.8943298969,2.4916467780,2.1428571429,1.3233471074,2.7931034483,1.5098039216,2.5000000000,-
2221,"13114","0160","2","","","","東京都","中野区","若宮","",7644,7601,7489,2651,175,4584,79,112,43,-,12855,12794,12602,6486,311,5702,103,192,61,-,1.6817111460,1.6831995790,1.6827346775,2.4466239155,1.7771428571,1.2438917976,1.3037974684,1.7142857143,1.4186046512,-
2222,"13114","016001","3","","","","東京都","中野区","若宮","１丁目",2501,2476,2429,853,-,1526,50,47,25,-,4081,4049,3979,2097,-,1817,65,70,32,-,1.6317473011,1.6352988691,1.6381226842,2.4583821805,-,1.1906946265,1.3000000000,1.4893617021,1.2800000000,-
2223,"13114","016002","3","","","","東京都","中野区","若宮","２丁目",2244,2233,2211,903,62,1235,11,22,11,-,4018,3999,3960,2228,117,1599,16,39,19,-,1.7905525847,1.7908643081,1.7910447761,2.4673311185,1.8870967742,1.2947368421,1.4545454545,1.7727272727,1.7272727273,-
2224,"13114","016003","3","","","","東京都","中野区","若宮","３丁目",2899,2892,2849,895,113,1823,18,43,7,-,4756,4746,4663,2161,194,2286,22,83,10,-,1.6405657123,1.6410788382,1.6367146367,2.4145251397,1.7168141593,1.2539769611,1.2222222222,1.9302325581,1.4285714286,-
2225,"13114","0170","2","","","","東京都","中野区","白鷺","",5907,5872,5817,2047,1416,2161,193,55,35,-,11246,11197,11104,4949,2561,3093,501,93,49,-,1.9038428983,1.9068460490,1.9088877428,2.4176844162,1.8086158192,1.4312818140,2.5958549223,1.6909090909,1.4000000000,-
2226,"13114","017001","3","","","","東京都","中野区","白鷺","１丁目",2089,2067,2050,570,759,592,129,17,22,-,4050,4023,3993,1354,1513,806,320,30,27,-,1.9387266635,1.9462989840,1.9478048780,2.3754385965,1.9934123847,1.3614864865,2.4806201550,1.7647058824,1.2272727273,-
2227,"13114","017002","3","","","","東京都","中野区","白鷺","２丁目",2196,2184,2163,822,315,1013,13,21,12,-,4072,4053,4015,1978,477,1534,26,38,19,-,1.8542805100,1.8557692308,1.8562182154,2.4063260341,1.5142857143,1.5143139191,2.0000000000,1.8095238095,1.5833333333,-
2228,"13114","017003","3","","","","東京都","中野区","白鷺","３丁目",1622,1621,1604,655,342,556,51,17,1,-,3124,3121,3096,1617,571,753,155,25,3,-,1.9260172626,1.9253547193,1.9301745636,2.4687022901,1.6695906433,1.3543165468,3.0392156863,1.4705882353,3.0000000000,-
2229,"13114","0180","2","","","","東京都","中野区","鷺宮","",9464,9408,9281,3376,35,5702,168,127,56,-,16746,16674,16478,8379,76,7722,301,196,72,-,1.7694420964,1.7723214286,1.7754552311,2.4819312796,2.1714285714,1.3542616626,1.7916666667,1.5433070866,1.2857142857,-
2230,"13114","018001","3","","","","東京都","中野区","鷺宮","１丁目",1684,1657,1625,494,-,1097,34,32,27,-,2679,2651,2592,1157,-,1387,48,59,28,-,1.5908551069,1.5998792999,1.5950769231,2.3421052632,-,1.2643573382,1.4117647059,1.8437500000,1.0370370370,-
2231,"13114","018002","3","","","","東京都","中野区","鷺宮","２丁目",876,862,849,237,-,599,13,13,14,-,1486,1469,1451,567,-,854,30,18,17,-,1.6963470320,1.7041763341,1.7090694935,2.3924050633,-,1.4257095159,2.3076923077,1.3846153846,1.2142857143,-
2232,"13114","018003","3","","","","東京都","中野区","鷺宮","３丁目",2132,2127,2103,717,-,1329,57,24,5,-,3543,3537,3502,1746,-,1677,79,35,6,-,1.6618198874,1.6629055007,1.6652401331,2.4351464435,-,1.2618510158,1.3859649123,1.4583333333,1.2000000000,-
2233,"13114","018004","3","","","","東京都","中野区","鷺宮","４丁目",1814,1808,1779,646,11,1092,30,29,6,-,3085,3074,3033,1539,32,1395,67,41,11,-,1.7006615215,1.7002212389,1.7048903879,2.3823529412,2.9090909091,1.2774725275,2.2333333333,1.4137931034,1.8333333333,-
2234,"13114","018005","3","","","","東京都","中野区","鷺宮","５丁目",1200,1199,1188,529,-,646,13,11,1,-,2416,2414,2398,1415,-,954,29,16,2,-,2.0133333333,2.0133444537,2.0185185185,2.6748582231,-,1.4767801858,2.2307692308,1.4545454545,2.0000000000,-
2235,"13114","018006","3","","","","東京都","中野区","鷺宮","６丁目",1758,1755,1737,753,24,939,21,18,3,-,3537,3529,3502,1955,44,1455,48,27,8,-,2.0119453925,2.0108262108,2.0161197467,2.5962815405,1.8333333333,1.5495207668,2.2857142857,1.5000000000,2.6666666667,-
2236,"13114","0190","2","","","","東京都","中野区","上鷺宮","",6556,6537,6482,2838,505,3001,138,55,19,-,13693,13652,13556,7171,1063,4923,399,96,41,-,2.0886211104,2.0884197644,2.0913298365,2.5267794221,2.1049504950,1.6404531823,2.8913043478,1.7454545455,2.1578947368,-
2237,"13114","019001","3","","","","東京都","中野区","上鷺宮","１丁目",1148,1144,1135,473,-,640,22,9,4,-,2277,2267,2247,1237,-,940,70,20,10,-,1.9834494774,1.9816433566,1.9797356828,2.6152219873,-,1.4687500000,3.1818181818,2.2222222222,2.5000000000,-
2238,"13114","019002","3","","","","東京都","中野区","上鷺宮","２丁目",1328,1325,1315,467,93,727,28,10,3,-,2783,2776,2759,1203,173,1308,75,17,7,-,2.0956325301,2.0950943396,2.0980988593,2.5760171306,1.8602150538,1.7991746905,2.6785714286,1.7000000000,2.3333333333,-
2239,"13114","019003","3","","","","東京都","中野区","上鷺宮","３丁目",1151,1146,1143,516,185,429,13,3,5,-,2439,2430,2425,1306,358,721,40,5,9,-,2.1190269331,2.1204188482,2.1216097988,2.5310077519,1.9351351351,1.6806526807,3.0769230769,1.6666666667,1.8000000000,-
2240,"13114","019004","3","","","","東京都","中野区","上鷺宮","４丁目",1256,1254,1247,348,227,614,58,7,2,-,2485,2480,2464,839,532,927,166,16,5,-,1.9785031847,1.9776714514,1.9759422614,2.4109195402,2.3436123348,1.5097719870,2.8620689655,2.2857142857,2.5000000000,-
2241,"13114","019005","3","","","","東京都","中野区","上鷺宮","５丁目",1673,1668,1642,1034,-,591,17,26,5,-,3709,3699,3661,2586,-,1027,48,38,10,-,2.2169754931,2.2176258993,2.2295980512,2.5009671180,-,1.7377326565,2.8235294118,1.4615384615,2.0000000000,-
2242,"13115","","1","","","","東京都","杉並区","","",311814,307658,303903,129785,5941,159405,8772,3755,4156,-,558113,552666,546025,300327,10900,216056,18742,6641,5447,-,1.7898907682,1.7963647947,1.7967081602,2.3140347498,1.8347079616,1.3553903579,2.1365709074,1.7685752330,1.3106352262,-
2243,"13115","0010","2","","","","東京都","杉並区","方南","",7510,7411,7330,2849,139,4152,190,81,99,-,12401,12264,12122,6193,266,5293,370,142,137,-,1.6512649800,1.6548374039,1.6537517053,2.1737451737,1.9136690647,1.2748073218,1.9473684211,1.7530864198,1.3838383838,-
2244,"13115","001001","3","","","","東京都","杉並区","方南","１丁目",4801,4755,4694,1763,56,2765,110,61,46,-,7866,7805,7694,4002,96,3388,208,111,61,-,1.6384086649,1.6414300736,1.6391137622,2.2699943279,1.7142857143,1.2253164557,1.8909090909,1.8196721311,1.3260869565,-
2245,"13115","001002","3","","","","東京都","杉並区","方南","２丁目",2709,2656,2636,1086,83,1387,80,20,53,-,4535,4459,4428,2191,170,1905,162,31,76,-,1.6740494647,1.6788403614,1.6798179059,2.0174953959,2.0481927711,1.3734679164,2.0250000000,1.5500000000,1.4339622642,-
2246,"13115","0020","2","","","","東京都","杉並区","和泉","",15789,15675,15487,5958,195,9053,281,188,114,-,27522,27357,27029,13727,398,12269,635,328,165,-,1.7431122934,1.7452631579,1.7452702266,2.3039610608,2.0410256410,1.3552413565,2.2597864769,1.7446808511,1.4473684211,-
2247,"13115","002001","3","","","","東京都","杉並区","和泉","１丁目",3751,3729,3690,1238,-,2397,55,39,22,-,5795,5758,5679,2685,-,2921,73,79,37,-,1.5449213543,1.5441137034,1.5390243902,2.1688206785,-,1.2186065916,1.3272727273,2.0256410256,1.6818181818,-
2248,"13115","002002","3","","","","東京都","杉並区","和泉","２丁目",4131,4113,4053,1659,-,2321,73,60,18,-,7225,7199,7111,3818,-,3089,204,88,26,-,1.7489711934,1.7503039144,1.7545028374,2.3013863773,-,1.3308918570,2.7945205479,1.4666666667,1.4444444444,-
2249,"13115","002003","3","","","","東京都","杉並区","和泉","３丁目",3686,3648,3605,1340,-,2161,104,43,38,-,6656,6612,6527,3180,-,3103,244,85,44,-,1.8057514921,1.8125000000,1.8105409154,2.3731343284,-,1.4359093012,2.3461538462,1.9767441860,1.1578947368,-
2250,"13115","002004","3","","","","東京都","杉並区","和泉","４丁目",4221,4185,4139,1721,195,2174,49,46,36,-,7846,7788,7712,4044,398,3156,114,76,58,-,1.8588012319,1.8609318996,1.8632519932,2.3497966299,2.0410256410,1.4517019319,2.3265306122,1.6521739130,1.6111111111,-
2251,"13115","0030","2","","","","東京都","杉並区","下高井戸","",11476,11405,11248,4930,96,6076,146,157,71,-,19676,19567,19277,11203,182,7643,249,290,109,-,1.7145346811,1.7156510302,1.7138157895,2.2724137931,1.8958333333,1.2578999342,1.7054794521,1.8471337580,1.5352112676,-
2252,"13115","003001","3","","","","東京都","杉並区","下高井戸","１丁目",3284,3273,3234,809,17,2348,60,39,11,-,4725,4711,4651,1663,37,2864,87,60,14,-,1.4387941535,1.4393522762,1.4381570810,2.0556242274,2.1764705882,1.2197614991,1.4500000000,1.5384615385,1.2727272727,-
2253,"13115","003002","3","","","","東京都","杉並区","下高井戸","２丁目",1995,1982,1953,826,-,1101,26,29,13,-,3139,3114,3053,1622,-,1380,51,61,25,-,1.5734335840,1.5711402624,1.5632360471,1.9636803874,-,1.2534059946,1.9615384615,2.1034482759,1.9230769231,-
2254,"13115","003003","3","","","","東京都","杉並区","下高井戸","３丁目",2020,2005,1975,1019,-,940,16,30,15,-,3643,3621,3565,2367,-,1155,43,56,22,-,1.8034653465,1.8059850374,1.8050632911,2.3228655545,-,1.2287234043,2.6875000000,1.8666666667,1.4666666667,-
2255,"13115","003004","3","","","","東京都","杉並区","下高井戸","４丁目",2711,2687,2650,1493,-,1122,35,37,24,-,5228,5194,5130,3604,-,1475,51,64,34,-,1.9284396902,1.9330107927,1.9358490566,2.4139316812,-,1.3146167558,1.4571428571,1.7297297297,1.4166666667,-
2256,"13115","003005","3","","","","東京都","杉並区","下高井戸","５丁目",1466,1458,1436,783,79,565,9,22,8,-,2941,2927,2878,1947,145,769,17,49,14,-,2.0061391542,2.0075445816,2.0041782730,2.4865900383,1.8354430380,1.3610619469,1.8888888889,2.2272727273,1.7500000000,-
2257,"13115","0040","2","","","","東京都","杉並区","永福","",8515,8394,8278,3646,-,4417,215,116,121,-,15247,15083,14883,8354,-,6079,450,200,164,-,1.7906048150,1.7968787229,1.7978980430,2.2912781130,-,1.3762734888,2.0930232558,1.7241379310,1.3553719008,-
2258,"13115","004001","3","","","","東京都","杉並区","永福","１丁目",1811,1751,1736,730,-,953,53,15,60,-,3171,3106,3078,1672,-,1284,122,28,65,-,1.7509663170,1.7738435180,1.7730414747,2.2904109589,-,1.3473242392,2.3018867925,1.8666666667,1.0833333333,-
2259,"13115","004002","3","","","","東京都","杉並区","永福","２丁目",2341,2322,2289,1121,-,1107,61,33,19,-,4488,4456,4398,2662,-,1621,115,58,32,-,1.9171294319,1.9190353144,1.9213630406,2.3746654773,-,1.4643179765,1.8852459016,1.7575757576,1.6842105263,-
2260,"13115","004003","3","","","","東京都","杉並区","永福","３丁目",2261,2244,2199,991,-,1171,37,45,17,-,3970,3938,3867,2243,-,1558,66,71,32,-,1.7558602388,1.7549019608,1.7585266030,2.2633703330,-,1.3304867635,1.7837837838,1.5777777778,1.8823529412,-
2261,"13115","004004","3","","","","東京都","杉並区","永福","４丁目",2102,2077,2054,804,-,1186,64,23,25,-,3618,3583,3540,1777,-,1616,147,43,35,-,1.7212178877,1.7250842561,1.7234664070,2.2101990050,-,1.3625632378,2.2968750000,1.8695652174,1.4000000000,-
2262,"13115","0050","2","","","","東京都","杉並区","浜田山","",8685,8297,8216,4172,176,3626,242,81,388,-,16846,16420,16263,10026,337,5271,629,157,426,-,1.9396660910,1.9790285645,1.9794303797,2.4031639501,1.9147727273,1.4536679537,2.5991735537,1.9382716049,1.0979381443,-
2263,"13115","005001","3","","","","東京都","杉並区","浜田山","１丁目",1990,1980,1955,1052,21,865,17,25,10,-,3914,3889,3848,2562,56,1187,43,41,25,-,1.9668341709,1.9641414141,1.9682864450,2.4353612167,2.6666666667,1.3722543353,2.5294117647,1.6400000000,2.5000000000,-
2264,"13115","005002","3","","","","東京都","杉並区","浜田山","２丁目",1499,1325,1303,654,31,544,74,22,174,-,2793,2617,2563,1527,55,751,230,54,176,-,1.8632421614,1.9750943396,1.9669992325,2.3348623853,1.7741935484,1.3805147059,3.1081081081,2.4545454545,1.0114942529,-
2265,"13115","005003","3","","","","東京都","杉並区","浜田山","３丁目",2247,2239,2221,957,43,1136,85,18,8,-,4305,4292,4258,2271,92,1714,181,34,13,-,1.9158878505,1.9169271996,1.9171544349,2.3730407524,2.1395348837,1.5088028169,2.1294117647,1.8888888889,1.6250000000,-
2266,"13115","005004","3","","","","東京都","杉並区","浜田山","４丁目",2949,2753,2737,1509,81,1081,66,16,196,-,5834,5622,5594,3666,134,1619,175,28,212,-,1.9782977280,2.0421358518,2.0438436244,2.4294234592,1.6543209877,1.4976873265,2.6515151515,1.7500000000,1.0816326531,-
2267,"13115","0060","2","","","","東京都","杉並区","和田","",11336,11039,10893,4322,444,5662,465,146,297,-,19407,19035,18797,9823,736,7176,1062,238,372,-,1.7119795342,1.7243409729,1.7256035986,2.2727903748,1.6576576577,1.2673966796,2.2838709677,1.6301369863,1.2525252525,-
2268,"13115","006001","3","","","","東京都","杉並区","和田","１丁目",5057,4809,4747,1909,135,2438,265,62,248,-,8578,8275,8169,4244,242,3104,579,106,303,-,1.6962626063,1.7207319609,1.7208763430,2.2231534835,1.7925925926,1.2731747334,2.1849056604,1.7096774194,1.2217741935,-
2269,"13115","006002","3","","","","東京都","杉並区","和田","２丁目",2212,2185,2158,974,259,890,35,27,27,-,4026,3992,3948,2262,440,1180,66,44,34,-,1.8200723327,1.8270022883,1.8294717331,2.3223819302,1.6988416988,1.3258426966,1.8857142857,1.6296296296,1.2592592593,-
2270,"13115","006003","3","","","","東京都","杉並区","和田","３丁目",4067,4045,3988,1439,50,2334,165,57,22,-,6803,6768,6680,3317,54,2892,417,88,35,-,1.6727317433,1.6731767614,1.6750250752,2.3050729673,1.0800000000,1.2390745501,2.5272727273,1.5438596491,1.5909090909,-
2271,"13115","0070","2","","","","東京都","杉並区","堀ノ内","",10763,10628,10513,4553,353,5249,358,115,135,-,19254,19050,18867,10537,641,6971,718,183,204,-,1.7889064387,1.7924350772,1.7946352135,2.3142982649,1.8158640227,1.3280624881,2.0055865922,1.5913043478,1.5111111111,-
2272,"13115","007001","3","","","","東京都","杉並区","堀ノ内","１丁目",2700,2665,2639,1190,-,1371,78,26,35,-,4783,4732,4688,2656,-,1902,130,44,51,-,1.7714814815,1.7756097561,1.7764304661,2.2319327731,-,1.3873085339,1.6666666667,1.6923076923,1.4571428571,-
2273,"13115","007002","3","","","","東京都","杉並区","堀ノ内","２丁目",3791,3745,3699,1871,-,1642,186,46,46,-,7387,7320,7247,4455,-,2351,441,73,67,-,1.9485623846,1.9546061415,1.9591781563,2.3810796366,-,1.4317904994,2.3709677419,1.5869565217,1.4565217391,-
2274,"13115","007003","3","","","","東京都","杉並区","堀ノ内","３丁目",4272,4218,4175,1492,353,2236,94,43,54,-,7084,6998,6932,3426,641,2718,147,66,86,-,1.6582397004,1.6590801328,1.6603592814,2.2962466488,1.8158640227,1.2155635063,1.5638297872,1.5348837209,1.5925925926,-
2275,"13115","0080","2","","","","東京都","杉並区","松ノ木","",4144,4110,4065,1594,266,1974,231,45,34,-,7669,7607,7502,3821,504,2648,529,105,62,-,1.8506274131,1.8508515815,1.8455104551,2.3971141782,1.8947368421,1.3414387031,2.2900432900,2.3333333333,1.8235294118,-
2276,"13115","008001","3","","","","東京都","杉並区","松ノ木","１丁目",1043,1033,1016,300,199,367,150,17,10,-,2046,2029,1991,723,344,539,385,38,17,-,1.9616490892,1.9641819942,1.9596456693,2.4100000000,1.7286432161,1.4686648501,2.5666666667,2.2352941176,1.7000000000,-
2277,"13115","008002","3","","","","東京都","杉並区","松ノ木","２丁目",1401,1388,1367,663,67,594,43,21,13,-,2709,2686,2636,1628,160,761,87,50,23,-,1.9336188437,1.9351585014,1.9283101683,2.4555052790,2.3880597015,1.2811447811,2.0232558140,2.3809523810,1.7692307692,-
2278,"13115","008003","3","","","","東京都","杉並区","松ノ木","３丁目",1700,1689,1682,631,-,1013,38,7,11,-,2914,2892,2875,1470,-,1348,57,17,22,-,1.7141176471,1.7122557726,1.7092746730,2.3296354992,-,1.3307008885,1.5000000000,2.4285714286,2.0000000000,-
2279,"13115","0090","2","","","","東京都","杉並区","大宮","",2030,1992,1951,839,32,1042,38,41,38,-,3762,3708,3651,1929,68,1560,94,57,54,-,1.8532019704,1.8614457831,1.8713480267,2.2991656734,2.1250000000,1.4971209213,2.4736842105,1.3902439024,1.4210526316,-
2280,"13115","009001","3","","","","東京都","杉並区","大宮","１丁目",1232,1226,1198,430,-,751,17,28,6,-,2287,2279,2236,1049,-,1155,32,43,8,-,1.8563311688,1.8588907015,1.8664440735,2.4395348837,-,1.5379494008,1.8823529412,1.5357142857,1.3333333333,-
2281,"13115","009002","3","","","","東京都","杉並区","大宮","２丁目",798,766,753,409,32,291,21,13,32,-,1475,1429,1415,880,68,405,62,14,46,-,1.8483709273,1.8655352480,1.8791500664,2.1515892421,2.1250000000,1.3917525773,2.9523809524,1.0769230769,1.4375000000,-
2282,"13115","0100","2","","","","東京都","杉並区","梅里","",5269,5226,5151,1840,79,3136,96,75,43,-,8319,8256,8144,3740,119,4116,169,112,63,-,1.5788574682,1.5797933410,1.5810522229,2.0326086957,1.5063291139,1.3125000000,1.7604166667,1.4933333333,1.4651162791,-
2283,"13115","010001","3","","","","東京都","杉並区","梅里","１丁目",2103,2089,2040,701,79,1224,36,49,14,-,3235,3215,3141,1379,119,1585,58,74,20,-,1.5382786495,1.5390138822,1.5397058824,1.9671897290,1.5063291139,1.2949346405,1.6111111111,1.5102040816,1.4285714286,-
2284,"13115","010002","3","","","","東京都","杉並区","梅里","２丁目",3166,3137,3111,1139,-,1912,60,26,29,-,5084,5041,5003,2361,-,2531,111,38,43,-,1.6058117498,1.6069493146,1.6081645773,2.0728709394,-,1.3237447699,1.8500000000,1.4615384615,1.4827586207,-
2285,"13115","0110","2","","","","東京都","杉並区","高円寺南","",21452,21190,20961,6442,27,13922,570,229,262,-,32207,31884,31522,13393,35,17118,976,362,323,-,1.5013518553,1.5046720151,1.5038404656,2.0790127290,1.2962962963,1.2295647177,1.7122807018,1.5807860262,1.2328244275,-
2286,"13115","011001","3","","","","東京都","杉並区","高円寺南","１丁目",4242,4207,4166,1400,-,2665,101,41,35,-,6389,6346,6279,2845,-,3276,158,67,43,-,1.5061291843,1.5084383171,1.5072011522,2.0321428571,-,1.2292682927,1.5643564356,1.6341463415,1.2285714286,-
2287,"13115","011002","3","","","","東京都","杉並区","高円寺南","２丁目",4949,4892,4835,1396,20,3311,108,57,57,-,7210,7128,7045,2757,28,4083,177,83,82,-,1.4568599717,1.4570727719,1.4570837642,1.9749283668,1.4000000000,1.2331621867,1.6388888889,1.4561403509,1.4385964912,-
2288,"13115","011003","3","","","","東京都","杉並区","高円寺南","３丁目",5150,5000,4960,1476,7,3326,151,40,150,-,7770,7606,7535,3201,7,4047,280,71,164,-,1.5087378641,1.5212000000,1.5191532258,2.1686991870,1.0000000000,1.2167769092,1.8543046358,1.7750000000,1.0933333333,-
2289,"13115","011004","3","","","","東京都","杉並区","高円寺南","４丁目",3038,3027,2980,801,-,2079,100,47,11,-,4414,4399,4342,1535,-,2676,131,57,15,-,1.4529295589,1.4532540469,1.4570469799,1.9163545568,-,1.2871572872,1.3100000000,1.2127659574,1.3636363636,-
2290,"13115","011005","3","","","","東京都","杉並区","高円寺南","５丁目",4073,4064,4020,1369,-,2541,110,44,9,-,6424,6405,6321,3055,-,3036,230,84,19,-,1.5772158114,1.5760334646,1.5723880597,2.2315558802,-,1.1948051948,2.0909090909,1.9090909091,2.1111111111,-
2291,"13115","0120","2","","","","東京都","杉並区","高円寺北","",10836,10700,10566,3169,8,7186,203,134,136,-,16178,16015,15807,6527,17,8953,310,208,163,-,1.4929863418,1.4967289720,1.4960249858,2.0596402651,2.1250000000,1.2458947954,1.5270935961,1.5522388060,1.1985294118,-
2292,"13115","012001","3","","","","東京都","杉並区","高円寺北","１丁目",1519,1501,1481,525,8,911,37,20,18,-,2506,2481,2455,1142,17,1222,74,26,25,-,1.6497695853,1.6528980680,1.6576637407,2.1752380952,2.1250000000,1.3413830955,2.0000000000,1.3000000000,1.3888888889,-
2293,"13115","012002","3","","","","東京都","杉並区","高円寺北","２丁目",3124,3072,3032,844,-,2137,51,40,52,-,4369,4306,4246,1610,-,2571,65,60,63,-,1.3985275288,1.4016927083,1.4003957784,1.9075829384,-,1.2030884417,1.2745098039,1.5000000000,1.2115384615,-
2294,"13115","012003","3","","","","東京都","杉並区","高円寺北","３丁目",3947,3917,3872,1014,-,2786,72,45,30,-,5676,5640,5561,2063,-,3415,83,79,36,-,1.4380542184,1.4398774572,1.4362086777,2.0345167653,-,1.2257717157,1.1527777778,1.7555555556,1.2000000000,-
2295,"13115","012004","3","","","","東京都","杉並区","高円寺北","４丁目",2246,2210,2181,786,-,1352,43,29,36,-,3627,3588,3545,1712,-,1745,88,43,39,-,1.6148708816,1.6235294118,1.6254011921,2.1781170483,-,1.2906804734,2.0465116279,1.4827586207,1.0833333333,-
2296,"13115","0130","2","","","","東京都","杉並区","阿佐谷南","",12096,12048,11891,4029,23,7603,236,157,48,-,19057,18975,18718,8828,42,9491,357,257,82,-,1.5754794974,1.5749501992,1.5741316962,2.1911144205,1.8260869565,1.2483230304,1.5127118644,1.6369426752,1.7083333333,-
2297,"13115","013001","3","","","","東京都","杉並区","阿佐谷南","１丁目",4721,4704,4637,1755,-,2776,106,67,17,-,7636,7608,7494,3864,-,3480,150,114,28,-,1.6174539293,1.6173469388,1.6161311193,2.2017094017,-,1.2536023055,1.4150943396,1.7014925373,1.6470588235,-
2298,"13115","013002","3","","","","東京都","杉並区","阿佐谷南","２丁目",2501,2491,2454,652,23,1741,38,37,10,-,3727,3708,3644,1504,42,2025,73,64,19,-,1.4902039184,1.4885588117,1.4849225754,2.3067484663,1.8260869565,1.1631246410,1.9210526316,1.7297297297,1.9000000000,-
2299,"13115","013003","3","","","","東京都","杉並区","阿佐谷南","３丁目",4874,4853,4800,1622,-,3086,92,53,21,-,7694,7659,7580,3460,-,3986,134,79,35,-,1.5785802216,1.5781990521,1.5791666667,2.1331689273,-,1.2916396630,1.4565217391,1.4905660377,1.6666666667,-
2300,"13115","0140","2","","","","東京都","杉並区","阿佐谷北","",14236,14101,13914,5456,146,7963,349,187,135,-,24133,23954,23632,12463,237,10196,736,322,179,-,1.6952093285,1.6987447699,1.6984332327,2.2842741935,1.6232876712,1.2804219515,2.1088825215,1.7219251337,1.3259259259,-
