"ID","性別","部活","進路","意欲","プレ得点","国語","社会","数学","理科","英語","ポスト得点"
497,"M","体育系","文系",61,161,60,44,48,48,55,255
498,"M","体育系","文系",44,132,48,46,57,52,50,253
499,"M","体育系","理系",47,211,45,51,45,49,58,248
500,"F","体育系","文系",45,138,53,47,53,34,50,237
501,"M","体育系","理系",46,166,54,59,66,59,48,286
502,"F","体育系","理系",47,202,58,63,73,56,54,304
503,"F","体育系","文系",30,101,37,34,47,44,55,217
504,"F","文化系","文系",44,212,48,47,44,42,48,229
505,"M","文化系","文系",56,289,65,70,68,61,64,328
506,"M","体育系","文系",65,247,62,51,53,48,50,264
507,"F","体育系","理系",41,205,57,52,60,68,65,302
508,"M","体育系","文系",55,313,73,70,67,73,70,353
509,"F","体育系","理系",40,225,46,49,60,51,48,254
510,"F","文化系","文系",51,252,52,54,62,46,50,264
511,"F","体育系","文系",49,141,61,55,48,44,60,268
512,"M","体育系","理系",41,96,55,40,53,50,54,252
513,"F","体育系","理系",49,124,51,46,43,39,41,220
514,"F","体育系","文系",41,125,50,42,57,49,57,255
515,"M","文化系","理系",39,231,47,66,68,54,51,286
516,"M","文化系","理系",57,221,63,62,60,56,52,293
517,"M","体育系","文系",31,132,50,54,52,59,51,266
518,"M","体育系","理系",43,113,42,41,58,54,52,247
519,"F","体育系","文系",51,168,71,65,65,51,55,307
520,"M","文化系","文系",51,182,53,59,48,54,56,270
521,"F","体育系","文系",19,163,42,38,42,45,51,218
522,"M","無所属","理系",55,244,46,48,61,64,44,263
523,"M","体育系","文系",58,268,65,66,59,42,63,295
524,"M","無所属","文系",59,216,63,75,42,36,60,276
525,"F","無所属","文系",46,145,41,40,44,35,55,215
526,"M","体育系","文系",26,140,46,53,51,35,52,237
527,"M","体育系","文系",24,90,47,49,39,33,38,206
528,"F","体育系","理系",35,154,51,46,53,54,51,255
529,"F","文化系","理系",36,186,46,50,59,44,43,242
530,"M","無所属","理系",39,108,47,54,69,62,54,286
531,"M","体育系","文系",44,146,43,47,44,53,47,234
532,"F","体育系","文系",64,218,60,62,62,50,47,281
533,"F","体育系","理系",45,234,66,65,72,65,56,324
534,"F","文化系","文系",53,145,41,59,54,48,54,256
535,"F","文化系","理系",29,137,47,26,34,36,29,172
536,"F","体育系","理系",39,116,41,33,62,46,42,224
537,"F","体育系","文系",51,151,48,40,41,33,49,211
538,"M","体育系","理系",41,92,46,44,56,56,40,242
539,"M","体育系","理系",67,234,54,60,60,57,57,288
540,"M","文化系","文系",46,184,60,50,54,59,45,268
541,"F","文化系","理系",32,172,52,52,58,51,63,276
542,"F","体育系","文系",51,161,71,59,52,50,51,283
543,"M","体育系","文系",50,155,52,42,44,53,37,228
544,"F","文化系","文系",43,197,61,62,56,74,62,315
545,"M","文化系","理系",45,183,39,35,51,48,50,223
546,"M","体育系","理系",29,124,42,42,43,50,44,221
547,"F","文化系","理系",55,235,62,55,67,69,62,315
548,"F","体育系","文系",41,110,48,47,46,41,53,235
549,"F","体育系","理系",32,83,34,18,29,34,39,154
550,"M","体育系","文系",53,237,62,54,61,51,59,287
551,"F","無所属","理系",32,107,39,49,43,44,47,222
552,"F","文化系","理系",51,246,49,51,63,62,74,299
553,"F","文化系","理系",38,148,39,37,51,39,46,212
554,"M","体育系","文系",33,226,47,56,47,41,63,254
555,"F","体育系","文系",46,112,40,41,39,26,41,187
556,"M","文化系","文系",59,224,76,70,56,55,72,329
557,"F","文化系","文系",48,176,65,46,55,53,44,263
558,"F","文化系","理系",52,152,53,56,61,68,45,283
559,"M","体育系","理系",63,152,56,43,57,55,60,271
560,"M","体育系","文系",56,151,54,65,53,56,61,289
561,"F","文化系","文系",58,244,66,74,49,54,57,300
562,"F","文化系","文系",40,85,48,44,51,40,54,237
563,"F","体育系","文系",71,253,69,70,55,60,55,309
564,"M","体育系","文系",39,165,44,38,29,36,50,197
565,"M","体育系","理系",71,271,54,66,72,67,53,312
566,"M","文化系","理系",57,231,49,57,53,52,43,254
567,"M","体育系","理系",65,211,52,55,50,35,45,237
568,"M","体育系","理系",47,155,56,44,43,41,52,236
569,"F","体育系","文系",48,89,57,56,58,48,57,276
570,"F","文化系","理系",43,250,53,55,51,47,51,257
571,"F","体育系","理系",41,140,43,38,40,46,53,220
572,"F","体育系","文系",61,210,68,57,70,75,53,323
573,"F","体育系","文系",47,170,69,61,49,56,65,300
574,"F","体育系","理系",47,176,49,43,57,56,38,243
575,"F","無所属","理系",44,194,61,46,54,65,56,282
576,"F","体育系","文系",23,80,43,44,35,37,41,200
577,"M","体育系","理系",23,135,43,39,54,49,46,231
578,"F","体育系","理系",49,190,48,51,56,52,52,259
579,"M","体育系","理系",46,232,56,63,68,71,72,330
580,"F","体育系","文系",51,241,55,50,48,46,63,262
581,"F","文化系","理系",60,208,52,62,63,45,52,274
582,"M","体育系","文系",46,235,57,53,37,58,64,269
583,"M","体育系","文系",54,181,65,66,50,67,68,316
584,"F","体育系","文系",40,119,47,49,54,36,53,239
585,"F","体育系","文系",50,195,60,73,57,61,56,307
586,"M","文化系","理系",51,143,53,45,61,66,44,269
587,"M","体育系","文系",45,132,53,45,51,48,47,244
588,"F","無所属","理系",54,223,53,66,57,58,63,297
589,"M","文化系","理系",54,166,54,47,45,42,48,236
590,"F","体育系","理系",72,203,60,57,72,67,65,321
591,"M","体育系","文系",70,208,72,82,72,86,75,387
592,"M","文化系","理系",41,171,44,48,59,50,37,238
593,"F","文化系","理系",44,140,55,41,49,32,48,225
594,"M","体育系","文系",48,182,58,63,52,46,57,276
595,"F","無所属","理系",63,166,49,55,48,40,46,238
596,"M","体育系","文系",60,199,51,62,65,68,68,314
597,"M","体育系","理系",49,175,56,56,55,49,51,267
598,"M","文化系","理系",65,220,80,73,70,63,63,349
599,"M","体育系","文系",46,183,41,43,37,40,49,210
600,"F","体育系","文系",31,173,31,31,37,34,46,179
601,"F","体育系","理系",39,119,30,39,54,37,55,215
602,"M","体育系","文系",47,171,53,47,58,53,51,262
603,"F","体育系","文系",54,264,59,53,59,42,48,261
604,"M","体育系","文系",66,271,59,70,72,65,62,328
605,"F","体育系","文系",14,111,42,45,38,42,63,230
606,"F","体育系","文系",30,137,65,55,53,45,54,272
607,"F","文化系","理系",50,248,59,60,56,53,64,292
608,"F","文化系","文系",76,218,74,69,64,56,61,324
609,"M","文化系","理系",49,157,53,45,58,65,53,274
610,"F","体育系","理系",73,268,57,59,65,57,62,300
611,"F","体育系","理系",52,213,57,54,53,55,62,281
612,"M","文化系","文系",54,143,62,71,64,59,59,315
613,"F","文化系","理系",38,202,35,31,48,37,32,183
614,"F","文化系","理系",44,177,48,59,51,43,63,264
615,"F","無所属","文系",47,164,45,39,49,32,50,215
616,"M","体育系","理系",63,251,78,77,70,78,75,378
617,"M","無所属","文系",54,251,56,59,58,49,60,282
618,"F","文化系","理系",60,211,60,61,48,67,55,291
619,"M","体育系","文系",45,217,67,69,60,59,62,317
620,"F","無所属","文系",26,136,34,46,40,28,45,193
621,"M","無所属","理系",57,209,69,59,68,63,68,327
622,"F","体育系","理系",50,118,50,56,51,38,53,248
623,"M","体育系","理系",57,176,48,42,39,43,54,226
624,"F","体育系","文系",47,156,65,46,47,49,45,252
625,"F","体育系","理系",60,198,60,60,69,61,46,296
626,"M","体育系","文系",55,178,51,49,44,30,47,221
627,"M","体育系","文系",27,105,48,49,65,38,54,254
628,"F","文化系","文系",56,222,70,64,71,51,51,307
629,"M","体育系","文系",52,253,65,62,70,62,66,325
630,"M","体育系","理系",56,125,36,31,29,36,36,168
631,"M","体育系","理系",53,164,67,59,60,53,52,291
632,"F","体育系","理系",82,246,66,62,81,75,58,342
633,"F","体育系","文系",45,207,43,55,51,39,51,239
634,"F","文化系","文系",60,181,48,54,58,39,49,248
635,"M","無所属","理系",47,285,55,47,78,73,70,323
636,"M","文化系","文系",78,252,65,77,69,67,71,349
637,"F","文化系","理系",37,143,47,43,69,59,46,264
638,"F","無所属","文系",34,133,40,50,43,34,44,211
639,"F","体育系","理系",39,208,45,42,47,46,54,234
640,"M","体育系","理系",46,175,57,55,57,63,49,281
641,"M","無所属","文系",21,141,65,56,62,59,57,299
642,"F","無所属","理系",39,185,54,59,43,43,51,250
643,"F","体育系","文系",44,207,48,47,53,52,55,255
644,"M","文化系","文系",44,107,54,41,45,41,56,237
645,"M","文化系","文系",69,137,62,55,52,56,55,280
646,"M","体育系","理系",44,211,48,36,51,50,33,218
647,"F","文化系","文系",41,192,54,49,73,62,61,299
648,"M","文化系","理系",57,185,53,38,67,61,59,278
649,"F","体育系","文系",40,117,52,39,53,32,55,231
650,"F","体育系","理系",53,197,49,43,50,41,31,214
651,"F","体育系","文系",59,284,81,80,65,62,58,346
652,"M","体育系","理系",47,221,57,49,49,46,58,259
653,"M","体育系","文系",43,227,58,44,44,42,46,234
654,"F","体育系","文系",53,185,83,63,69,56,53,324
655,"M","体育系","文系",40,129,43,46,52,46,54,241
656,"F","体育系","文系",27,213,59,63,63,52,62,299
657,"M","体育系","文系",37,150,56,37,41,35,49,218
658,"F","文化系","文系",38,141,56,48,37,41,58,240
659,"M","体育系","文系",30,165,55,44,51,36,39,225
660,"M","体育系","文系",46,177,53,52,56,43,53,257
661,"F","体育系","理系",37,215,41,40,49,46,46,222
662,"M","体育系","理系",38,176,46,44,45,31,31,197
663,"F","体育系","文系",54,112,40,34,32,30,36,172
664,"M","体育系","理系",53,182,56,60,48,52,43,259
665,"F","文化系","理系",70,217,76,68,69,70,83,366
666,"F","体育系","理系",59,219,45,61,63,47,40,256
667,"F","無所属","理系",49,158,48,51,46,51,58,254
668,"M","文化系","理系",59,209,60,54,47,52,55,268
669,"F","体育系","文系",30,130,59,38,45,46,48,236
670,"M","体育系","理系",30,198,38,39,48,43,48,216
671,"F","体育系","理系",47,204,59,52,65,53,55,284
672,"F","文化系","理系",60,239,50,49,56,62,58,275
673,"F","体育系","理系",31,140,44,41,63,43,54,245
674,"F","文化系","文系",42,170,62,52,57,58,57,286
675,"M","体育系","文系",39,163,41,43,61,55,59,259
676,"M","体育系","理系",80,261,67,58,75,79,71,350
677,"F","文化系","文系",52,174,67,72,59,58,53,309
678,"F","文化系","文系",66,222,63,62,70,65,59,319
679,"M","無所属","理系",50,197,51,52,68,67,61,299
680,"M","体育系","理系",58,248,58,60,58,60,57,293
681,"F","体育系","文系",55,188,59,50,40,43,53,245
682,"F","文化系","文系",44,147,47,46,39,39,46,217
683,"M","体育系","文系",42,228,73,54,55,60,50,292
684,"F","体育系","文系",46,189,65,71,52,59,58,305
685,"M","文化系","文系",48,205,57,59,70,61,60,307
686,"M","体育系","文系",43,166,59,59,50,53,59,280
687,"M","無所属","理系",41,199,51,51,66,49,55,272
688,"M","無所属","文系",39,157,42,55,45,48,49,239
689,"F","体育系","文系",52,171,62,67,59,36,52,276
690,"F","体育系","文系",71,310,72,77,71,64,71,355
691,"F","文化系","理系",58,232,66,50,58,46,43,263
692,"M","体育系","理系",33,141,34,42,44,47,40,207
693,"F","体育系","理系",32,134,30,45,54,36,42,207
694,"M","文化系","文系",67,200,73,65,58,43,57,296
695,"F","体育系","文系",62,190,61,62,77,67,63,330
696,"M","体育系","文系",32,103,32,27,30,24,40,153
697,"F","文化系","文系",56,226,56,58,57,43,55,269
698,"F","文化系","理系",63,224,56,63,51,48,47,265
699,"M","文化系","文系",49,182,59,46,43,42,55,245
700,"M","体育系","文系",73,300,67,64,64,69,72,336
701,"F","体育系","理系",71,213,51,61,55,67,59,293
702,"F","体育系","理系",53,216,65,67,75,64,57,328
703,"F","文化系","文系",59,269,57,50,61,61,65,294
704,"M","体育系","文系",51,216,54,53,59,40,51,257
705,"F","文化系","理系",67,215,72,70,61,60,59,322
706,"F","体育系","文系",37,180,54,53,44,29,59,239
707,"F","体育系","理系",63,210,41,57,54,40,58,250
708,"F","体育系","文系",65,213,52,59,70,58,65,304
709,"M","無所属","文系",33,113,59,49,50,41,53,252
710,"F","文化系","文系",43,140,59,42,41,42,44,228
711,"M","文化系","理系",42,147,41,43,42,42,46,214
712,"F","体育系","理系",48,199,46,48,71,53,52,270
713,"F","体育系","文系",52,240,57,52,59,41,60,269
714,"M","体育系","文系",63,168,62,58,46,50,49,265
715,"M","体育系","理系",27,162,43,34,37,41,41,196
716,"M","体育系","文系",45,209,47,40,46,33,47,213
717,"M","文化系","文系",46,161,39,48,49,42,45,223
718,"F","体育系","理系",45,214,51,67,58,48,50,274
719,"M","体育系","文系",42,202,44,52,54,44,50,244
720,"F","無所属","理系",48,120,54,40,53,47,48,242
721,"M","体育系","理系",30,193,65,65,61,64,50,305
722,"M","体育系","理系",53,250,76,63,65,75,59,338
723,"F","体育系","理系",44,179,45,40,52,44,54,235
724,"F","無所属","文系",64,209,61,68,78,61,61,329
725,"M","体育系","文系",46,161,53,50,55,48,57,263
726,"M","体育系","理系",54,123,60,41,51,46,53,251
727,"F","文化系","文系",53,203,50,53,50,29,57,239
728,"M","文化系","文系",29,183,48,41,57,55,51,252
729,"F","文化系","文系",50,251,52,60,68,51,64,295
730,"M","文化系","理系",31,89,42,51,43,37,45,218
731,"M","体育系","文系",25,127,41,43,41,16,44,185
732,"F","体育系","文系",52,156,47,43,45,37,51,223
733,"M","体育系","文系",58,169,71,70,78,66,63,348
734,"M","文化系","理系",31,176,43,35,43,39,37,197
735,"F","文化系","理系",55,227,55,59,53,50,45,262
736,"F","無所属","理系",31,134,53,51,50,37,47,238
737,"F","文化系","理系",38,168,48,41,54,40,51,234
738,"F","文化系","文系",46,209,53,56,55,50,51,265
739,"M","文化系","理系",58,174,51,60,53,52,47,263
740,"F","体育系","文系",41,199,50,39,48,31,50,218
741,"M","体育系","理系",51,143,52,52,48,36,39,227
742,"F","文化系","理系",41,104,50,38,46,37,47,218
743,"F","体育系","理系",32,125,39,22,29,30,35,155
744,"M","体育系","文系",51,266,53,48,55,27,51,234
745,"F","体育系","理系",44,182,51,52,57,44,46,250
746,"M","体育系","文系",63,267,80,77,61,68,78,364
747,"F","体育系","文系",13,89,36,17,31,22,36,142
748,"F","文化系","文系",74,216,66,50,62,47,61,286
749,"F","文化系","理系",45,103,30,19,36,36,31,152
750,"F","文化系","文系",42,182,54,44,48,50,49,245
751,"F","体育系","文系",46,118,49,30,38,38,37,192
752,"M","文化系","文系",44,147,45,55,60,53,54,267
753,"M","体育系","文系",53,222,44,41,56,48,49,238
754,"M","体育系","文系",34,166,58,55,47,47,45,252
755,"F","体育系","文系",60,166,53,61,56,43,57,270
756,"F","文化系","理系",55,219,47,47,65,53,54,266
757,"F","体育系","理系",31,193,41,47,39,39,52,218
758,"M","体育系","理系",51,204,53,45,61,56,55,270
759,"M","文化系","理系",77,303,69,65,80,74,63,351
760,"F","文化系","文系",38,84,61,49,56,47,60,273
761,"M","文化系","文系",35,253,48,36,56,43,57,240
762,"F","文化系","文系",39,184,47,54,46,37,51,235
763,"F","体育系","文系",42,238,42,47,51,39,57,236
764,"M","体育系","文系",58,227,76,64,75,59,63,337
765,"M","文化系","理系",33,147,52,43,52,51,46,244
766,"F","体育系","理系",40,162,37,42,51,46,41,217
767,"M","体育系","文系",45,95,30,55,47,24,49,205
768,"M","文化系","文系",59,240,61,49,60,48,55,273
769,"F","体育系","理系",63,237,56,46,66,46,66,280
770,"M","体育系","文系",42,172,38,42,41,36,36,193
771,"M","文化系","理系",66,245,76,72,66,59,63,336
772,"F","文化系","理系",53,253,53,60,63,59,43,278
773,"F","体育系","文系",26,98,47,44,54,49,47,241
774,"M","体育系","理系",53,212,57,68,69,67,74,335
775,"F","体育系","理系",29,141,42,45,62,53,47,249
776,"F","体育系","文系",47,120,44,28,47,17,44,180
777,"M","体育系","文系",32,173,47,60,53,49,53,262
778,"F","文化系","文系",57,207,48,57,59,46,66,276
779,"F","体育系","文系",44,120,49,40,51,42,62,244
780,"F","文化系","文系",41,226,59,48,44,65,59,275
781,"F","体育系","文系",50,264,45,40,42,52,45,224
782,"F","無所属","文系",53,188,56,42,38,41,44,221
783,"F","文化系","文系",64,159,62,32,49,65,53,261
784,"M","体育系","文系",70,284,59,69,67,56,65,316
785,"M","体育系","文系",45,200,61,64,67,70,57,319
786,"M","無所属","理系",51,140,58,59,59,53,60,289
787,"M","体育系","文系",51,174,33,53,52,44,42,224
788,"M","文化系","理系",47,211,67,75,77,73,54,346
789,"M","体育系","文系",81,223,81,70,62,60,76,349
790,"M","体育系","文系",43,219,61,60,62,49,58,290
791,"M","体育系","理系",47,144,34,49,54,61,44,242
792,"M","体育系","文系",59,281,66,58,67,57,54,302
793,"F","体育系","理系",40,123,35,51,43,47,45,221
794,"M","体育系","理系",47,227,42,46,52,53,54,247
795,"F","文化系","理系",59,172,57,53,56,50,53,269
796,"M","無所属","文系",43,177,48,47,41,47,40,223
797,"M","体育系","理系",39,68,48,42,52,45,59,246
798,"F","体育系","文系",44,244,62,62,58,37,65,284
799,"F","体育系","理系",57,135,33,47,62,56,52,250
800,"M","文化系","文系",54,141,49,46,50,34,55,234
