"ID","性別","部署","年代","協調性","自己主張","技能","知識","ストレス","総合","昨年総合"
544,"F","A部","若手",57,76,57,64,51,251,276
545,"F","A部","中堅",52,49,60,78,64,236,232
546,"M","B部","熟練",67,70,58,76,51,271,299
547,"F","B部","中堅",62,55,39,67,39,220,227
548,"F","A部","中堅",43,47,40,66,52,193,218
549,"M","B部","若手",40,46,57,77,60,220,219
550,"F","A部","若手",63,67,58,74,42,259,273
551,"M","A部","熟練",26,57,36,66,55,185,196
552,"F","A部","中堅",51,58,52,58,48,216,208
553,"M","B部","中堅",47,54,54,56,60,211,243
554,"F","A部","中堅",69,59,54,74,51,253,271
555,"M","B部","中堅",63,71,59,73,52,266,250
556,"M","B部","若手",54,71,56,70,51,251,275
557,"M","A部","若手",60,44,54,74,48,232,222
558,"F","A部","中堅",39,44,39,53,52,172,120
559,"M","B部","若手",62,73,53,73,53,261,257
560,"F","B部","若手",32,65,42,66,67,202,183
561,"M","A部","中堅",52,68,45,74,55,239,231
562,"M","B部","若手",60,58,62,55,52,235,223
563,"F","A部","若手",55,71,67,71,64,261,212
564,"M","B部","若手",40,61,45,64,60,210,200
565,"M","A部","熟練",39,54,34,55,52,182,201
566,"F","A部","中堅",41,51,30,52,63,171,137
567,"M","B部","熟練",67,77,53,58,50,255,284
568,"F","B部","熟練",46,62,46,65,56,216,247
569,"M","A部","若手",42,51,47,68,57,208,189
570,"M","B部","中堅",57,67,36,71,52,231,277
571,"F","B部","若手",47,46,46,62,55,198,176
572,"M","B部","中堅",51,54,49,58,50,212,215
573,"M","A部","若手",47,28,33,55,51,163,155
574,"M","B部","熟練",45,48,38,49,52,180,205
575,"F","A部","熟練",59,64,49,66,51,235,210
576,"M","B部","熟練",58,46,56,67,43,227,218
577,"M","B部","若手",55,97,64,90,61,306,276
578,"F","A部","中堅",53,49,53,62,56,214,231
579,"M","A部","中堅",55,44,52,63,54,214,225
580,"M","A部","中堅",67,61,55,67,43,250,247
581,"F","A部","若手",59,62,59,60,60,237,221
582,"M","B部","中堅",37,51,47,66,55,201,182
583,"M","A部","中堅",39,53,37,51,53,180,182
584,"M","B部","熟練",33,41,47,56,60,177,149
585,"F","B部","若手",53,69,60,63,60,242,283
586,"M","A部","若手",32,51,35,38,57,156,134
587,"M","A部","若手",70,84,51,72,47,277,276
588,"F","A部","若手",43,55,36,57,49,188,176
589,"F","A部","若手",66,57,41,57,42,218,213
590,"M","A部","若手",38,60,38,71,61,207,205
591,"F","B部","熟練",48,64,53,56,59,218,229
592,"M","A部","中堅",58,51,51,53,50,213,196
593,"F","A部","若手",54,51,59,62,55,223,204
594,"F","B部","中堅",67,67,50,55,48,236,252
595,"M","A部","中堅",44,58,52,67,59,221,261
596,"F","A部","熟練",39,44,49,65,73,194,208
597,"F","B部","熟練",50,46,41,59,53,193,202
598,"F","B部","熟練",62,69,67,71,52,266,270
599,"M","A部","若手",34,58,40,46,63,178,180
600,"F","A部","中堅",55,66,46,69,61,233,194
601,"F","A部","若手",47,57,55,63,62,219,230
602,"M","A部","中堅",48,56,41,65,54,210,200
603,"M","B部","中堅",55,57,57,68,48,237,243
604,"M","B部","熟練",48,56,54,61,60,219,249
605,"M","B部","中堅",54,59,44,65,57,222,219
606,"F","B部","中堅",59,62,70,62,51,250,262
607,"M","A部","中堅",48,51,30,68,48,197,183
608,"M","A部","若手",47,61,55,78,57,241,269
609,"F","B部","若手",56,57,64,64,52,238,267
610,"M","A部","中堅",32,58,27,45,57,162,177
611,"F","B部","若手",41,55,32,56,48,181,197
612,"M","A部","中堅",58,59,52,54,51,223,229
613,"M","B部","中堅",60,61,68,73,54,262,270
614,"M","B部","熟練",55,66,49,69,60,239,249
615,"F","B部","熟練",61,66,57,74,50,255,252
616,"F","A部","若手",51,53,64,67,66,232,221
617,"F","A部","中堅",53,65,44,58,54,217,211
618,"F","A部","若手",44,74,59,70,64,244,255
619,"F","B部","中堅",68,53,56,56,44,230,222
620,"F","B部","中堅",64,88,55,62,46,266,227
621,"M","B部","中堅",56,31,61,79,46,227,242
622,"M","A部","若手",53,69,56,56,55,234,239
623,"F","A部","若手",52,50,41,70,54,210,196
624,"F","B部","若手",53,63,53,68,62,234,229
625,"M","B部","若手",43,42,37,56,52,178,186
626,"F","B部","熟練",60,59,55,80,60,251,284
627,"F","A部","若手",50,49,45,61,61,202,223
628,"M","A部","若手",67,67,53,77,51,264,252
629,"M","A部","若手",51,66,46,65,59,228,277
630,"M","B部","中堅",42,64,46,65,57,217,243
631,"F","A部","熟練",49,66,47,62,51,221,231
632,"F","A部","若手",54,61,52,61,54,225,233
633,"M","B部","中堅",42,56,53,50,57,201,191
634,"M","B部","熟練",66,85,61,66,48,278,289
635,"F","B部","熟練",66,76,67,75,55,281,294
636,"M","B部","中堅",45,54,49,53,62,201,199
637,"M","B部","中堅",45,69,45,52,55,211,220
638,"M","B部","若手",48,66,61,63,66,238,221
639,"F","A部","若手",64,52,52,59,45,224,247
640,"F","B部","熟練",57,45,38,58,43,195,193
641,"F","B部","熟練",65,67,62,75,48,266,229
642,"M","B部","中堅",47,60,51,62,58,220,211
643,"F","A部","中堅",41,40,43,53,55,174,179
644,"M","B部","熟練",61,52,49,60,49,222,234
645,"F","B部","熟練",45,35,55,49,59,181,158
646,"F","B部","熟練",49,41,23,59,55,169,170
647,"F","B部","中堅",29,52,29,46,58,153,151
648,"F","B部","中堅",69,68,57,74,58,265,255
649,"M","B部","若手",42,50,52,55,57,199,180
650,"M","B部","熟練",67,45,59,68,46,239,212
651,"M","A部","若手",56,34,57,64,45,211,216
652,"M","A部","中堅",52,48,45,72,49,217,195
653,"M","A部","中堅",42,57,52,60,58,211,195
654,"F","A部","若手",52,49,53,60,55,211,227
655,"M","A部","若手",57,69,64,62,51,252,242
656,"M","A部","熟練",51,68,35,57,57,211,217
657,"M","B部","若手",61,32,39,58,49,190,211
658,"M","A部","中堅",41,55,44,61,49,201,205
659,"M","B部","若手",44,40,34,55,49,173,175
660,"M","A部","若手",52,73,59,71,61,255,243
661,"M","B部","熟練",47,55,36,54,57,192,177
662,"M","B部","中堅",63,70,53,91,55,277,260
663,"F","A部","中堅",51,61,51,65,56,225,232
664,"F","A部","若手",61,65,44,64,51,231,194
665,"M","A部","中堅",74,72,59,71,49,276,284
666,"M","A部","若手",45,50,51,68,58,214,190
667,"F","A部","熟練",59,79,68,73,73,276,279
668,"M","A部","中堅",54,76,50,53,51,233,258
669,"F","B部","若手",45,48,36,43,50,169,179
670,"M","B部","中堅",51,56,46,63,57,216,211
671,"F","B部","中堅",61,43,59,72,57,232,238
672,"M","B部","熟練",53,63,52,67,55,235,202
673,"M","B部","若手",51,33,45,68,51,197,186
674,"M","A部","若手",41,49,40,59,55,189,184
675,"M","A部","中堅",62,46,62,69,56,239,185
676,"M","A部","熟練",49,44,55,69,54,217,252
677,"M","A部","若手",41,49,37,50,53,177,184
678,"M","B部","若手",64,68,55,61,55,248,269
679,"F","B部","若手",46,66,39,59,62,207,207
680,"F","B部","熟練",59,55,64,66,53,241,251
681,"M","A部","若手",52,56,54,50,51,212,250
682,"F","B部","中堅",40,48,29,60,62,174,175
683,"F","A部","若手",68,60,56,62,55,243,249
684,"M","B部","熟練",33,51,30,53,63,167,178
685,"M","B部","熟練",52,73,59,80,57,264,272
686,"F","A部","中堅",55,74,52,68,51,246,259
687,"M","A部","若手",55,71,40,56,55,222,217
688,"M","A部","若手",40,57,42,73,60,212,206
689,"F","B部","若手",59,62,56,58,58,232,209
690,"M","A部","熟練",38,50,41,67,53,196,189
691,"F","B部","熟練",43,37,50,67,66,194,186
692,"F","B部","若手",35,57,43,65,61,197,185
693,"M","A部","中堅",54,66,61,74,57,255,265
694,"F","A部","中堅",48,70,51,57,60,223,229
695,"M","B部","熟練",43,48,48,53,53,192,170
696,"F","B部","中堅",47,37,55,68,58,204,196
697,"F","A部","若手",48,57,47,59,54,208,213
698,"M","A部","若手",37,29,36,48,54,150,157
699,"M","B部","中堅",41,45,42,55,52,183,185
700,"M","A部","熟練",47,55,44,72,52,218,206
701,"M","A部","熟練",63,55,49,69,52,236,270
702,"F","A部","若手",35,46,52,74,73,204,213
703,"F","A部","若手",53,63,36,54,51,203,191
704,"M","B部","熟練",56,60,54,63,50,233,258
705,"M","B部","中堅",53,43,38,51,52,185,177
706,"F","B部","中堅",46,46,48,61,55,198,232
707,"F","B部","中堅",51,38,48,52,55,186,187
708,"F","A部","中堅",47,55,34,60,48,193,172
709,"M","B部","中堅",50,71,62,66,61,249,258
710,"M","A部","若手",52,52,34,70,60,208,233
711,"M","B部","中堅",51,67,50,63,57,231,215
712,"M","B部","中堅",60,65,73,69,61,267,246
713,"M","B部","若手",47,61,53,52,57,213,219
714,"M","A部","中堅",45,67,53,58,63,223,186
715,"M","B部","熟練",59,54,52,63,49,228,221
716,"F","A部","熟練",50,57,49,67,55,220,208
717,"M","A部","若手",51,72,68,73,63,264,277
718,"F","A部","若手",53,51,38,58,54,197,160
719,"M","A部","若手",44,56,53,61,63,214,184
720,"M","A部","若手",47,55,32,58,56,192,187
721,"M","B部","中堅",44,73,49,67,57,233,215
722,"F","B部","熟練",51,77,79,69,63,273,280
723,"M","B部","中堅",44,52,51,68,57,215,210
724,"F","B部","中堅",51,67,52,73,61,240,229
725,"M","B部","若手",58,77,59,58,48,252,281
726,"M","A部","中堅",47,60,59,76,64,242,201
727,"F","A部","熟練",51,78,60,62,60,248,296
728,"M","A部","若手",42,37,40,59,54,178,183
729,"M","A部","中堅",40,45,29,66,58,180,165
730,"F","B部","中堅",47,56,49,62,57,211,189
731,"M","B部","中堅",43,41,48,64,53,196,175
732,"M","B部","熟練",45,62,47,64,54,218,232
733,"M","A部","若手",47,38,53,79,54,217,237
734,"M","B部","中堅",33,46,54,68,64,201,187
735,"M","A部","中堅",50,46,50,61,47,207,229
736,"M","B部","若手",52,72,61,65,52,250,255
737,"M","B部","中堅",46,46,54,74,61,220,207
738,"F","A部","若手",57,68,46,60,50,228,255
739,"F","A部","若手",66,56,62,71,50,252,267
740,"M","A部","中堅",46,55,49,71,67,221,196
741,"M","A部","若手",50,44,35,55,48,184,201
742,"M","A部","中堅",60,80,65,69,55,274,301
743,"F","B部","熟練",42,37,26,55,55,157,153
744,"F","A部","中堅",42,55,31,55,59,180,168
745,"M","A部","熟練",35,55,33,37,59,160,176
746,"M","A部","若手",55,59,54,64,65,232,263
747,"F","A部","若手",48,42,44,65,63,196,187
748,"M","A部","若手",51,64,55,63,61,233,242
749,"F","A部","若手",63,50,45,67,43,222,258
750,"F","B部","若手",47,46,29,51,50,170,165
751,"M","B部","熟練",50,41,44,56,42,191,184
752,"M","A部","若手",31,37,37,53,52,158,145
753,"M","B部","中堅",63,74,48,62,51,247,225
754,"M","A部","若手",58,66,49,70,55,243,216
755,"M","B部","熟練",31,48,22,60,53,161,173
756,"F","A部","若手",40,54,46,63,58,200,194
757,"M","A部","熟練",51,72,57,62,64,242,214
758,"F","A部","熟練",61,55,60,68,53,241,251
759,"M","B部","中堅",63,57,42,69,53,231,219
760,"F","A部","中堅",58,71,56,63,57,245,211
761,"M","A部","中堅",42,52,60,64,58,218,205
762,"M","A部","若手",53,59,50,63,51,225,204
763,"F","B部","熟練",46,50,50,71,60,214,212
764,"M","A部","若手",39,55,61,58,58,213,228
765,"F","A部","熟練",65,62,58,65,51,247,267
766,"M","A部","若手",52,54,56,55,55,217,227
767,"F","A部","若手",47,66,46,74,59,230,215
768,"F","B部","熟練",58,60,54,56,49,225,235
769,"M","A部","中堅",41,61,43,63,54,208,186
770,"F","B部","中堅",44,69,59,65,64,234,248
771,"F","A部","中堅",71,82,59,70,54,279,276
772,"F","B部","中堅",41,55,36,56,58,185,177
773,"M","B部","中堅",50,64,56,57,58,227,239
774,"M","B部","若手",37,49,59,66,57,211,218
775,"M","B部","中堅",48,63,55,72,57,238,200
776,"M","B部","中堅",52,62,58,62,59,234,194
777,"M","B部","中堅",46,56,50,58,62,210,251
778,"M","A部","中堅",49,56,59,62,53,226,230
779,"M","B部","中堅",48,55,36,63,46,202,229
780,"M","A部","若手",31,74,52,57,66,214,242
781,"M","A部","中堅",42,42,44,59,57,187,186
782,"M","B部","熟練",67,58,46,71,51,242,216
783,"F","B部","中堅",45,55,46,59,63,202,173
784,"M","A部","若手",30,54,53,53,63,190,142
785,"F","B部","熟練",59,48,51,77,47,232,263
786,"M","B部","熟練",47,47,40,53,45,187,186
787,"M","B部","中堅",40,42,38,68,49,188,205
788,"M","B部","熟練",46,58,48,69,57,221,217
789,"M","B部","熟練",48,70,53,49,58,220,245
790,"M","A部","熟練",70,70,69,75,49,284,290
791,"M","A部","若手",47,58,56,69,64,230,236
792,"F","A部","中堅",60,83,57,59,58,256,251
793,"F","B部","中堅",47,57,54,68,58,223,221
794,"M","A部","中堅",64,59,49,53,50,225,244
795,"M","A部","熟練",56,55,55,58,54,224,170
796,"M","A部","中堅",38,42,41,58,55,179,162
797,"M","A部","若手",33,51,27,53,59,164,142
798,"M","A部","若手",33,46,32,56,63,167,159
799,"F","A部","若手",48,68,69,59,65,241,221
800,"M","A部","熟練",46,48,32,62,55,188,202
