学業1,学業2,学業3,学業4,学業5,友人1,友人2,友人3,友人4,友人5,情緒1,情緒2,情緒3,情緒4,情緒5,暴力1,暴力2,暴力3,暴力4,暴力5,BMI
3,3,3,4,3,3,3,3,2,3,3,2,3,3,3,4,4,3,4,4,23.33
3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,25.41
3,2,3,2,2,2,2,3,3,3,5,4,4,5,4,2,2,2,3,3,20.46
2,3,2,3,2,4,4,4,4,4,3,2,3,3,2,3,3,3,4,3,23.94
3,3,3,3,3,2,2,3,3,2,4,3,4,4,4,3,3,3,2,4,22.74
2,2,2,2,3,2,3,3,3,3,3,2,2,3,3,3,3,4,3,3,21.17
3,3,2,4,2,3,4,4,4,4,3,3,2,3,3,4,4,3,3,3,24.84
3,3,2,3,3,3,3,3,3,3,4,3,4,4,3,4,4,3,3,3,19.88
2,3,2,3,2,3,4,4,4,3,3,2,3,2,2,2,3,2,2,1,21.14
2,3,3,2,2,3,4,4,4,4,4,4,4,4,4,2,2,3,2,3,23.26
2,2,2,2,1,3,2,3,2,3,4,3,3,4,4,3,2,2,3,2,23.13
4,3,2,3,2,2,3,3,2,2,3,2,2,3,2,2,2,2,3,1,19.33
3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,4,3,4,2,21.12
2,3,2,3,2,3,2,3,3,3,3,2,3,2,3,4,3,3,3,3,20.65
3,3,2,2,3,2,3,4,4,3,3,2,3,3,3,3,3,3,3,3,20.66
3,2,2,3,4,2,2,2,2,2,3,3,3,3,3,3,2,2,3,2,19.3
3,2,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,2,19.41
3,4,3,4,4,2,1,3,3,2,4,4,4,4,5,3,3,2,3,3,19.81
3,3,3,3,2,3,3,4,3,3,4,4,5,4,5,3,3,2,3,3,23.01
3,2,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2,3,3,22.98
2,2,2,2,1,3,3,3,4,2,4,3,4,3,4,2,2,2,2,2,22.25
3,2,2,4,3,3,4,3,4,3,3,3,3,3,3,2,3,3,2,2,18.63
2,3,3,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,2,19.07
2,2,3,3,3,2,3,3,3,3,4,3,4,3,3,2,2,2,3,2,19.97
3,3,4,4,3,3,2,4,4,4,3,3,3,3,3,4,4,4,3,2,21.8
5,5,4,4,5,3,3,3,4,4,3,2,2,3,3,3,3,3,3,3,18.45
3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,2,16.77
3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,2,2,2,3,20.76
3,3,4,3,3,3,4,4,3,4,3,3,3,3,4,4,4,4,3,3,22.64
4,3,3,4,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,21.41
3,2,3,3,2,3,3,3,3,4,5,4,4,5,4,3,2,2,2,2,19.28
1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,2,3,3,22.9
3,3,4,4,3,4,3,4,4,4,2,2,2,3,2,4,5,4,3,3,22.38
3,3,2,3,3,4,3,4,4,4,4,3,4,4,4,2,2,3,2,3,17.97
3,3,2,3,2,2,3,2,4,3,5,4,4,4,4,3,4,3,3,3,21.58
2,2,2,2,2,2,2,3,2,2,4,3,4,4,3,2,3,2,2,2,17.92
3,3,3,4,3,4,4,5,4,4,2,2,2,3,3,3,3,3,3,3,23.01
2,2,3,3,2,2,2,4,2,3,5,4,5,4,5,2,2,3,3,3,20.6
3,3,3,3,3,4,4,4,4,4,3,2,3,3,2,3,2,3,3,3,20.05
3,2,2,2,2,2,2,2,2,3,5,5,4,5,5,2,2,2,1,3,22.61
3,3,3,4,3,3,4,5,4,4,4,3,4,3,3,4,4,4,4,3,19.24
3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,2,17.89
3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,22.21
2,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,19.49
3,4,4,4,4,4,4,4,5,4,1,1,1,1,1,4,4,4,4,3,19.36
3,3,3,3,3,2,3,3,3,4,3,2,3,2,2,3,3,3,3,2,21.88
3,3,2,3,2,2,3,3,2,2,3,3,2,3,3,2,2,3,3,2,20.68
2,2,3,3,2,2,2,3,3,3,3,3,3,4,3,2,2,3,2,2,18.01
2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,22.39
3,4,2,3,3,2,3,3,3,2,4,3,3,4,4,2,2,3,2,2,18.92
3,2,3,4,2,3,3,3,3,3,3,2,3,3,3,3,4,3,4,2,22.49
3,4,3,4,3,3,2,3,3,4,3,2,3,3,2,4,4,3,3,2,17.61
4,3,3,4,3,3,3,3,3,4,2,2,2,3,3,4,4,5,4,2,18.67
4,4,3,4,3,4,5,4,4,4,3,2,3,3,2,3,2,2,2,2,20.72
2,2,3,3,2,3,3,4,3,3,3,3,3,4,3,2,2,3,3,2,20.24
1,2,1,2,1,2,3,3,3,3,4,3,4,4,3,2,2,2,2,2,17.7
4,3,3,4,3,3,4,4,4,3,3,2,3,3,3,4,4,3,4,3,21.29
2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17.1
2,2,2,3,2,2,3,3,3,4,3,3,3,3,3,2,2,2,2,3,20.84
3,3,3,4,3,3,4,4,3,4,2,2,2,2,2,3,3,3,3,3,19.2
3,3,3,3,3,3,3,4,4,3,3,2,3,2,3,3,3,2,3,2,23.67
2,3,2,2,2,3,2,3,3,2,5,4,5,4,5,4,3,3,4,4,20.47
3,3,2,2,2,2,2,3,3,2,3,3,4,4,4,3,2,3,3,3,21.36
3,3,4,3,3,2,3,3,3,2,4,4,3,3,3,4,3,3,3,3,21.06
4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,3,4,4,4,3,23.34
3,3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,24.12
3,2,3,3,2,3,3,4,3,4,3,3,2,3,3,2,2,1,3,2,22.75
4,3,3,4,3,3,3,4,4,4,2,2,2,2,1,4,4,4,4,3,20.29
3,3,2,3,2,1,2,3,1,2,4,3,4,4,4,2,2,2,3,3,21.59
3,3,3,4,3,3,4,4,4,3,4,3,3,3,3,3,3,3,4,2,19.52
3,3,2,3,2,3,3,4,4,4,2,2,2,3,3,4,4,3,3,4,18.57
2,2,3,2,2,2,3,3,3,2,4,3,3,4,4,3,3,2,3,2,23.74
2,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,16.96
3,4,4,4,3,4,4,4,3,4,2,2,2,2,2,3,3,3,3,3,22.49
3,3,3,3,3,1,1,1,2,2,4,4,4,4,4,2,2,2,2,2,17.28
4,2,2,3,3,4,4,5,4,4,3,2,3,3,3,3,3,3,3,2,18.18
2,2,3,3,2,2,3,3,3,3,4,4,3,4,3,3,3,3,3,2,22.32
3,3,4,4,3,3,2,3,2,2,3,3,3,3,3,2,2,2,2,3,18.3
3,2,2,4,3,4,3,5,4,4,3,2,2,3,2,3,2,3,3,3,22.64
3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,3,3,4,4,3,22.72
4,3,4,4,4,3,4,3,3,3,3,2,2,3,2,4,4,4,3,3,22.59
3,3,4,4,3,4,4,4,4,5,3,3,3,3,3,3,4,3,2,3,21.12
3,3,3,3,2,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,18.11
3,3,2,2,2,2,3,2,2,2,3,3,4,3,4,3,4,4,4,2,21.39
3,2,3,3,2,2,3,3,4,3,3,2,3,2,4,3,3,3,3,3,23.53
2,3,2,3,2,2,3,4,4,3,3,2,3,4,2,4,4,3,4,3,19.05
