"Year","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","colour","ROLE","alpha"
"2003","8","0.42","0.17","2","0.073","6","18","0.9972","3.29","0.61","9.2","6","RED","TRAIN","0.76817830838263"
"2004","8","0.42","0.17","2","0.073","6","18","0.9972","3.29","0.61","9.2","6","RED","TEST","0.13401690125465"
"2002","7.4","0.62","0.05","1.9","0.068","24","42","0.9961","3.42","0.57","11.5","6","RED","TRAIN","0.66525569488294"
"2003","7.3","0.38","0.21","2","0.08","7","35","0.9961","3.33","0.47","9.5","5","RED","TEST","0.21754601388238"
"2000","6.9","0.5","0.04","1.5","0.085","19","49","0.9958","3.35","0.78","9.5","5","RED","TRAIN","0.54831521725282"
"2000","7.3","0.38","0.21","2","0.08","7","35","0.9961","3.33","0.47","9.5","5","RED","TRAIN","0.51663799746893"
"2000","7.5","0.52","0.42","2.3","0.087","8","38","0.9972","3.58","0.61","10.5","6","RED","VALIDATE","0.45036135939881"
"2004","7","0.805","0","2.5","0.068","7","20","0.9969","3.48","0.56","9.6","5","RED","TEST","0.07133710291236"
"2001","8.8","0.61","0.14","2.4","0.067","10","42","0.9969","3.19","0.59","9.5","5","RED","VALIDATE","0.39196282555349"
"2002","8.8","0.61","0.14","2.4","0.067","10","42","0.9969","3.19","0.59","9.5","5","RED","TEST","0.27631937060505"
"2001","8.9","0.61","0.49","2","0.27","23","110","0.9972","3.12","1.02","9.3","5","RED","TRAIN","0.63842478720471"
"2004","7.2","0.73","0.02","2.5","0.076","16","42","0.9972","3.44","0.52","9.3","5","RED","TEST","0.08039794419892"
"2004","6.8","0.61","0.2","1.8","0.077","11","65","0.9971","3.54","0.58","9.3","5","RED","TRAIN","0.88364894967526"
"2003","6.7","0.62","0.21","1.9","0.079","8","62","0.997","3.52","0.58","9.3","6","RED","TRAIN","0.81242694542743"
"2004","8.9","0.31","0.57","2","0.111","26","85","0.9971","3.26","0.53","9.7","5","RED","TRAIN","0.89506236696615"
"2003","7.4","0.39","0.48","2","0.082","14","67","0.9972","3.34","0.55","9.2","5","RED","TEST","0.21764947846531"
"2003","7.7","0.705","0.1","2.6","0.084","9","26","0.9976","3.39","0.49","9.7","5","RED","TEST","0.18304549856111"
"2003","7.9","0.5","0.33","2","0.084","15","143","0.9968","3.2","0.55","9.5","5","RED","TRAIN","0.75904676364734"
"2004","7.9","0.49","0.32","1.9","0.082","17","144","0.9968","3.2","0.55","9.5","5","RED","TRAIN","0.90081570507027"
"2003","8.2","0.5","0.35","2.9","0.077","21","127","0.9976","3.23","0.62","9.4","5","RED","TEST","0.22013493371196"
"2002","6.4","0.37","0.25","1.9","0.074","21","49","0.9974","3.57","0.62","9.8","6","RED","TRAIN","0.73035321268253"
"2000","6.8","0.63","0.12","3.8","0.099","16","126","0.9969","3.28","0.61","9.5","5","RED","TRAIN","0.51788711803965"
"2005","7.6","0.55","0.21","2.2","0.071","7","28","0.9964","3.28","0.55","9.7","5","RED","TEST","0.02150912582874"
"2003","7.6","0.55","0.21","2.2","0.071","7","28","0.9964","3.28","0.55","9.7","5","RED","TRAIN","0.81140696560032"
"2003","7.8","0.59","0.33","2","0.074","24","120","0.9968","3.25","0.54","9.4","5","RED","TRAIN","0.83115728711709"
"2001","7.3","0.58","0.3","2.4","0.074","15","55","0.9968","3.46","0.59","10.2","5","RED","TRAIN","0.64682459225878"
"2003","11.5","0.3","0.6","2","0.067","12","27","0.9981","3.11","0.97","10.1","6","RED","TEST","0.21110262721776"
"2004","5.4","0.835","0.08","1.2","0.046","13","93","0.9924","3.57","0.85","13","7","RED","TEST","0.08534278068691"
"2001","6.9","1.09","0.06","2.1","0.061","12","31","0.9948","3.51","0.43","11.4","4","RED","TRAIN","0.63360349438153"
"2003","5.8","0.61","0.11","1.8","0.066","18","28","0.99483","3.55","0.66","10.9","6","RED","TEST","0.2281732361298"
"2002","7.7","0.24","0.27","1.8","0.051","52","190","0.9928","3.23","0.5","10.8","6","WHITE","TEST","0.25273843714967"
"2002","7.4","0.19","0.3","1.4","0.057","33","135","0.993","3.12","0.5","9.6","6","WHITE","TEST","0.29469142388552"
"2001","6.5","0.46","0.41","16.8","0.084","59","222","0.9993","3.18","0.58","9","5","WHITE","TRAIN","0.6353051206097"
"2003","6.5","0.26","0.43","8.9","0.083","50","171","0.9965","2.85","0.5","9","5","WHITE","TEST","0.19583828700706"
"2004","5.3","0.32","0.12","6.6","0.043","22","141","0.9937","3.36","0.6","10.4","6","WHITE","TEST","0.06962145469151"
"2004","7.2","0.24","0.34","1.1","0.045","3","64","0.9913","3.23","0.51","11.4","5","WHITE","TEST","0.05049461685121"
"2004","6","0.36","0.06","1.4","0.066","27","128","0.9934","3.26","0.55","9.3","5","WHITE","TRAIN","0.94585102074779"
"2001","6.2","0.24","0.29","13.3","0.039","49","130","0.9952","3.33","0.46","11","8","WHITE","VALIDATE","0.43681541131809"
"2004","7.6","0.56","0.12","10.4","0.096","22","177","0.9983","3.32","0.45","9.1","4","WHITE","TRAIN","0.89188225613907"
"2002","7","0.32","0.24","6.2","0.048","31","228","0.9957","3.23","0.62","9.4","6","WHITE","VALIDATE","0.34208342153579"
"2001","7","0.32","0.24","6.2","0.048","31","228","0.9957","3.23","0.62","9.4","6","WHITE","TRAIN","0.61666504689492"
"2004","5.8","0.31","0.33","1.2","0.036","23","99","0.9916","3.18","0.6","10.5","6","WHITE","TEST","0.12870573438704"
"2002","7","0.23","0.42","18.05","0.05","35","144","0.9999","3.22","0.42","8.8","5","WHITE","TRAIN","0.73635652917437"
"2001","7","0.23","0.42","18.05","0.05","35","144","0.9999","3.22","0.42","8.8","5","WHITE","TRAIN","0.6432395488955"
"2002","6.9","0.24","0.33","4.8","0.04","16","131","0.9936","3.26","0.64","10.7","6","WHITE","TRAIN","0.70024486794136"
"2004","6","0.29","0.2","12.6","0.045","45","187","0.9972","3.33","0.42","9.5","5","WHITE","TRAIN","0.88162328721955"
"2003","6.1","0.17","0.28","4.5","0.033","46","150","0.9933","3.43","0.49","10.9","6","WHITE","TEST","0.20543059171177"
"2005","5.9","0.14","0.25","4.5","0.027","34","140","0.9934","3.49","0.51","10.8","6","WHITE","TEST","0.03294659126549"
"2003","6.2","0.17","0.28","4.7","0.037","39","133","0.9931","3.41","0.46","10.8","7","WHITE","TEST","0.22229910595342"
"2004","7.4","0.28","0.25","11.9","0.053","25","148","0.9976","3.1","0.62","9.2","5","WHITE","TEST","0.10169305722229"
"2004","5.6","0.35","0.14","5","0.046","48","198","0.9937","3.3","0.71","10.3","5","WHITE","TRAIN","0.89339366205967"
"2001","5.8","0.335","0.14","5.8","0.046","49","197","0.9937","3.3","0.71","10.3","5","WHITE","TRAIN","0.61011580564081"
"2002","5.6","0.235","0.29","1.2","0.047","33","127","0.991","3.34","0.5","11","7","WHITE","TEST","0.26522598881274"
"2000","6.1","0.28","0.25","12.9","0.054","34","189","0.9979","3.25","0.43","9","4","WHITE","VALIDATE","0.48800405394285"
"2003","6.3","0.21","0.33","13.9","0.046","68","179","0.9971","3.36","0.5","10.4","6","WHITE","TRAIN","0.83059376757591"
"2000","6.4","0.24","0.28","11.5","0.05","34","163","0.9969","3.31","0.45","9.5","5","WHITE","VALIDATE","0.45920492173172"
"2003","6.4","0.24","0.29","11.4","0.051","32","166","0.9968","3.31","0.45","9.5","5","WHITE","TRAIN","0.77266447711735"
"2001","6.3","0.26","0.25","7.8","0.058","44","166","0.9961","3.24","0.41","9","5","WHITE","TRAIN","0.60575540270656"
"2004","6.5","0.33","0.72","1.1","0.061","7","151","0.993","3.09","0.57","9.5","4","WHITE","TEST","0.0544952370692"
"2001","7.4","0.105","0.34","12.2","0.05","57","146","0.9973","3.16","0.37","9","6","WHITE","VALIDATE","0.44024116685614"
"2000","6","0.32","0.12","5.9","0.041","34","190","0.9944","3.16","0.72","10","5","WHITE","VALIDATE","0.49941880116239"
"2002","7.1","0.26","0.34","14.4","0.067","35","189","0.9986","3.07","0.53","9.1","7","WHITE","TRAIN","0.69490689272061"
"2004","7.1","0.26","0.34","14.4","0.067","35","189","0.9986","3.07","0.53","9.1","7","WHITE","TEST","0.06680563371628"
"2005","7.1","0.26","0.34","14.4","0.067","35","189","0.9986","3.07","0.53","9.1","7","WHITE","TRAIN","0.95917601790279"
"2004","7.1","0.26","0.34","14.4","0.067","35","189","0.9986","3.07","0.53","9.1","7","WHITE","TRAIN","0.90839508944191"
"2001","5.9","0.24","0.26","12.3","0.053","34","134","0.9972","3.34","0.45","9.5","6","WHITE","TRAIN","0.60499740904197"
"2002","6.5","0.21","0.37","2.5","0.048","70","138","0.9917","3.33","0.75","11.4","7","WHITE","VALIDATE","0.30916517344303"
"2003","7.7","0.27","0.35","5.3","0.03","30","117","0.992","3.11","0.42","12.2","6","WHITE","TEST","0.16855202894657"
"2003","9","0.27","0.35","4.9","0.028","27","95","0.9932","3.04","0.4","11.3","6","WHITE","TRAIN","0.84829649724997"
"2002","7.3","0.34","0.21","3.2","0.05","14","136","0.9936","3.25","0.44","10.2","5","WHITE","VALIDATE","0.30120919435285"
"2000","6.6","0.27","0.25","3.1","0.052","41","188","0.9915","3.24","0.4","11.3","5","WHITE","VALIDATE","0.46187949110753"
"2000","6.8","0.29","0.16","1.4","0.038","122.5","234.5","0.9922","3.15","0.47","10","4","WHITE","VALIDATE","0.48776128352619"
"2004","7.1","0.28","0.26","1.9","0.049","12","86","0.9934","3.15","0.38","9.4","5","WHITE","TEST","0.0611158942338"
"2001","6.8","0.25","0.34","14","0.032","47","133","0.9952","3.37","0.5","12.2","7","WHITE","TRAIN","0.63301167893223"
"2001","7","0.57","0.1","8.3","0.094","23","188","0.9972","3.4","0.47","9.2","4","WHITE","VALIDATE","0.37280717748217"
"2001","7.1","0.28","0.26","1.9","0.049","12","86","0.9934","3.15","0.38","9.4","5","WHITE","TRAIN","0.59774743649177"
"2003","7.1","0.17","0.38","7.4","0.052","49","182","0.9958","3.35","0.52","9.6","6","WHITE","TRAIN","0.77953551872633"
"2001","7.8","0.28","0.22","1.4","0.056","24","130","0.9944","3.28","0.48","9.5","5","WHITE","VALIDATE","0.41957649192772"
"2000","6.8","0.22","0.37","1.7","0.036","38","195","0.9908","3.35","0.72","12.5","6","WHITE","VALIDATE","0.4785340859089"
"2000","7.1","0.17","0.38","7.4","0.052","49","182","0.9958","3.35","0.52","9.6","6","WHITE","TRAIN","0.53800275246612"
"2003","6.1","0.14","0.25","1.3","0.047","37","173","0.9925","3.35","0.46","10","6","WHITE","TRAIN","0.75093243224546"
"2005","6.4","0.24","0.5","11.6","0.047","60","211","0.9966","3.18","0.57","9.3","5","WHITE","TRAIN","0.98406965634785"
"2003","7.8","0.42","0.26","9.2","0.058","34","199","0.9972","3.14","0.55","9.3","6","WHITE","TRAIN","0.76549025345593"
"2001","6.6","0.28","0.36","1.7","0.038","22","101","0.9912","3.29","0.57","11.6","6","WHITE","TRAIN","0.55774971330538"
"2004","7.1","0.32","0.34","14.5","0.039","46","150","0.995","3.38","0.5","12.5","8","WHITE","TEST","0.08809433784335"
"2002","6.7","0.31","0.3","2.1","0.038","18","130","0.9928","3.36","0.63","10.6","6","WHITE","TEST","0.29046231694519"
"2004","6.4","0.32","0.5","10.7","0.047","57","206","0.9968","3.08","0.6","9.4","5","WHITE","TRAIN","0.86508864513598"
"2001","6.1","0.28","0.25","6.9","0.056","44","201","0.9955","3.19","0.4","9.1","6","WHITE","VALIDATE","0.3603395698592"
"2005","5.9","0.29","0.25","12","0.057","48","224","0.9981","3.23","0.41","9","6","WHITE","TEST","0.00255818874575"
"2002","5.8","0.32","0.38","4.75","0.033","23","94","0.991","3.42","0.42","11.8","7","WHITE","TEST","0.26418327284045"
"2002","5.8","0.32","0.38","4.75","0.033","23","94","0.991","3.42","0.42","11.8","7","WHITE","VALIDATE","0.32352833217009"
"2000","5.7","0.32","0.38","4.75","0.033","23","94","0.991","3.42","0.42","11.8","7","WHITE","VALIDATE","0.48711000825278"
"2004","6.7","0.28","0.14","1.4","0.043","64","159","0.992","3.17","0.39","10","5","WHITE","TRAIN","0.92620335938408"
"2003","6.8","0.34","0.69","1.3","0.058","12","171","0.9931","3.06","0.47","9.7","5","WHITE","TEST","0.19396091857925"
"2005","5.9","0.25","0.25","11.3","0.052","30","165","0.997","3.24","0.44","9.5","6","WHITE","TRAIN","0.99100443767383"
"2004","6.4","0.27","0.32","4.5","0.24","61","174","0.9948","3.12","0.48","9.4","5","WHITE","TEST","0.0563659206964"
"2002","8.1","0.46","0.31","1.7","0.052","50","183","0.9923","3.03","0.42","11.2","5","WHITE","TRAIN","0.65998282306827"
"2004","6.2","0.36","0.26","13.2","0.051","54","201","0.9976","3.25","0.46","9","5","WHITE","TRAIN","0.87329913745634"
"2001","6.8","0.22","0.35","5.5","0.043","21","114","0.9938","3.3","0.53","10.7","7","WHITE","VALIDATE","0.36641670600511"
"2002","6.8","0.67","0.3","13","0.29","22","193","0.9984","3.08","0.67","9","4","WHITE","TRAIN","0.73833180987276"
"2004","7.2","0.28","0.3","10.7","0.044","61","222","0.9972","3.14","0.5","9.1","6","WHITE","TRAIN","0.935939155519"
"2000","6.7","0.17","0.37","2","0.039","34","125","0.9922","3.26","0.6","10.8","7","WHITE","VALIDATE","0.47879935312084"
"2004","6.9","0.2","0.34","1.9","0.043","25","136","0.9935","3.31","0.6","10.1","4","WHITE","TEST","0.0590354760643"
"2004","6.1","0.36","0.16","6.4","0.037","36","198","0.9944","3.17","0.62","9.9","6","WHITE","TRAIN","0.90851984149776"
"2000","6","0.36","0.16","6.3","0.036","36","191","0.9942","3.17","0.62","9.8","5","WHITE","TRAIN","0.52165552484802"
"2001","5.9","0.37","0.14","6.3","0.036","34","185","0.9944","3.17","0.63","9.8","5","WHITE","TRAIN","0.5762745977845"
"2004","7.6","0.29","0.58","17.5","0.041","51","225","0.9997","3.16","0.66","9.5","6","WHITE","TEST","0.14325686544179"
"2002","6.3","0.34","0.28","14.7","0.047","49","198","0.9977","3.23","0.46","9.5","5","WHITE","VALIDATE","0.31474015209823"
"2005","6.7","0.19","0.34","1","0.022","22","94","0.9912","3.23","0.57","11.1","6","WHITE","TEST","0.02473083906807"
"2002","7.5","0.31","0.51","14.8","0.039","62","204","0.9982","3.06","0.6","9.5","5","WHITE","TEST","0.28123205620795"
"2002","7.5","0.31","0.51","14.8","0.039","62","204","0.9982","3.06","0.6","9.5","5","WHITE","TEST","0.2668590163812"
"2001","7.4","0.31","0.48","14.2","0.042","62","204","0.9983","3.06","0.59","9.4","5","WHITE","VALIDATE","0.39597031217999"
"2004","8.4","0.4","0.7","13.1","0.042","29","197","0.998","3.06","0.64","9.7","5","WHITE","TRAIN","0.89981069974601"
"2003","5.9","0.34","0.22","2.4","0.03","19","135","0.9894","3.41","0.78","13.9","7","WHITE","TRAIN","0.81665365654043"
"2004","6.6","0.38","0.18","1.2","0.042","20","84","0.9927","3.22","0.45","10.1","4","WHITE","TEST","0.05112969782203"
"2002","6.4","0.33","0.28","1.1","0.038","30","110","0.9917","3.12","0.42","10.5","6","WHITE","TRAIN","0.66293599340133"
"2003","5.6","0.25","0.26","3.6","0.037","18","115","0.9904","3.42","0.5","12.6","6","WHITE","TEST","0.17187209241092"
"2005","8.6","0.27","0.46","6.1","0.032","13","41","0.993","2.89","0.34","10.9","5","WHITE","TEST","0.02602850273251"
"2000","6.2","0.31","0.21","6.3","0.041","50","218","0.9941","3.15","0.6","10","5","WHITE","VALIDATE","0.45803241548128"
"2001","7.2","0.18","0.45","4.4","0.046","57","166","0.9943","3.13","0.62","11.2","6","WHITE","VALIDATE","0.40787316439673"
"2005","7.7","0.2","0.44","13.9","0.05","44","130","0.99855","3.11","0.48","10","6","WHITE","TRAIN","0.97343263076618"
"2004","6.2","0.47","0.21","1","0.044","13","98","0.99345","3.14","0.46","9.2","5","WHITE","TEST","0.10088163032196"
"2001","6.1","0.25","0.24","12.1","0.046","51","172","0.998","3.35","0.45","9.5","5","WHITE","TRAIN","0.57164887525141"
"2004","8.2","0.27","0.43","1.6","0.035","31","128","0.9916","3.1","0.5","12.3","6","WHITE","TRAIN","0.91632622061297"
"2002","8.2","0.27","0.43","1.6","0.035","31","128","0.9916","3.1","0.5","12.3","6","WHITE","TRAIN","0.71396715193986"
"2002","6.4","0.31","0.39","7.5","0.04","57","213","0.99475","3.32","0.43","10","5","WHITE","TRAIN","0.7100443590898"
"2004","6","0.39","0.26","2.7","0.038","39","187","0.99325","3.41","0.5","10.8","6","WHITE","TEST","0.14325791201554"
"2003","6.2","0.21","0.27","1.7","0.038","41","150","0.9933","3.49","0.71","10.5","7","WHITE","TEST","0.20538332546129"
"2004","7.7","0.42","0.31","9.2","0.048","22","221","0.9969","3.06","0.61","9.2","6","WHITE","TEST","0.09771790518425"
"2003","7","0.27","0.41","18.75","0.042","34","157","1.0002","2.96","0.5","9.1","5","WHITE","TRAIN","0.7952919199597"
"2004","6.2","0.21","0.27","1.7","0.038","41","150","0.9933","3.49","0.71","10.5","7","WHITE","TRAIN","0.90702135185711"
"2003","7.4","0.29","0.5","1.8","0.042","35","127","0.9937","3.45","0.5","10.2","7","WHITE","TEST","0.22195674455724"
"2005","6.6","0.29","0.44","9","0.053","62","178","0.99685","3.02","0.45","8.9","5","WHITE","TEST","0.01789827737957"
"2002","6","0.3","0.44","1.5","0.046","15","182","0.99455","3.5","0.52","10.4","5","WHITE","TEST","0.27025745878927"
"2003","6.9","0.31","0.34","1.6","0.032","23","128","0.9917","3.37","0.47","11.7","6","WHITE","TRAIN","0.83029784634709"
"2002","6.6","0.33","0.31","1.3","0.02","29","89","0.99035","3.26","0.44","12.4","8","WHITE","VALIDATE","0.34677428775466"
"2001","7.8","0.3","0.4","1.8","0.028","23","122","0.9914","3.14","0.39","10.9","7","WHITE","TRAIN","0.61673225555568"
"2003","6.4","0.39","0.21","1.2","0.041","35","136","0.99225","3.15","0.46","10.2","5","WHITE","TRAIN","0.8187632439658"
"2004","6.4","0.24","0.31","2.8","0.038","41","114","0.99155","3.37","0.66","11.7","7","WHITE","TEST","0.07462109345942"
"2004","7","0.21","0.34","8","0.057","19","101","0.9954","2.99","0.59","9.4","5","WHITE","TEST","0.05224220408126"
"2001","6.4","0.16","0.31","5.3","0.043","42","157","0.99455","3.35","0.47","10.5","5","WHITE","VALIDATE","0.39084273250773"
"2002","6","0.33","0.27","0.8","0.185","12","188","0.9924","3.12","0.62","9.4","5","WHITE","TRAIN","0.72943389299325"
"2003","6.5","0.23","0.33","13.8","0.042","25","139","0.99695","3.35","0.56","10.4","6","WHITE","TRAIN","0.81524408701807"
"2002","6.2","0.25","0.48","10","0.044","78","240","0.99655","3.25","0.47","9.5","6","WHITE","TRAIN","0.66745364153757"
"2003","8.8","0.28","0.45","6","0.022","14","49","0.9934","3.01","0.33","11.1","7","WHITE","TEST","0.24867658806033"
"2001","6.6","0.25","0.3","14.4","0.052","40","183","0.998","3.02","0.5","9.1","6","WHITE","VALIDATE","0.36812437954358"
"2004","6.9","0.38","0.25","9.8","0.04","28","191","0.9971","3.28","0.61","9.2","5","WHITE","TRAIN","0.92679897439666"
"2004","6.4","0.25","0.3","5.5","0.038","15","129","0.9948","3.14","0.49","9.6","6","WHITE","TRAIN","0.92153982026502"
"2002","6.6","0.25","0.3","14.4","0.052","40","183","0.998","3.02","0.5","9.1","6","WHITE","TEST","0.28540939162485"
"2005","6.9","0.38","0.25","9.8","0.04","28","191","0.9971","3.28","0.61","9.2","5","WHITE","TEST","0.00613163202069"
"2003","7.1","0.21","0.31","3.8","0.021","40","142","0.99215","3.17","0.39","10.8","7","WHITE","TEST","0.17676026490516"
"2001","6.4","0.25","0.3","5.5","0.038","15","129","0.9948","3.14","0.49","9.6","6","WHITE","VALIDATE","0.42885132157243"
"2001","6.9","0.39","0.4","4.6","0.022","5","19","0.9915","3.31","0.37","12.6","3","WHITE","VALIDATE","0.38664323696866"
"2001","5.8","0.2","0.3","1.5","0.031","21","57","0.99115","3.44","0.55","11","6","WHITE","TRAIN","0.59633268625475"
"2000","7","0.2","0.37","2","0.03","26","136","0.9932","3.28","0.61","10.2","6","WHITE","TRAIN","0.52773615322075"
"2002","5.9","0.26","0.25","12.5","0.034","38","152","0.9977","3.33","0.43","9.4","5","WHITE","TRAIN","0.7279094455298"
"2001","7.4","0.38","0.27","7.5","0.041","24","160","0.99535","3.17","0.43","10","5","WHITE","VALIDATE","0.4068109288346"
"2001","7.4","0.2","1.66","2.1","0.022","34","113","0.99165","3.26","0.55","12.2","6","WHITE","VALIDATE","0.41873795632272"
"2005","7","0.21","0.34","8.5","0.033","31","253","0.9953","3.22","0.56","10.5","6","WHITE","TRAIN","0.99231885233894"
"2004","7.2","0.29","0.4","7.6","0.024","56","177","0.9928","3.04","0.32","11.5","6","WHITE","TEST","0.08125281240791"
"2002","6.9","0.18","0.38","8.1","0.049","44","176","0.9958","3.3","0.54","9.8","6","WHITE","VALIDATE","0.3394394419156"
"2003","7.3","0.3","0.42","7.35","0.025","51","175","0.9928","3.04","0.32","11.4","6","WHITE","TEST","0.18284001993015"
"2004","7.2","0.29","0.4","7.6","0.024","56","177","0.9928","3.04","0.32","11.5","6","WHITE","TRAIN","0.90214208839461"
"2005","6.9","0.2","0.5","10","0.036","78","167","0.9964","3.15","0.55","10.2","6","WHITE","TRAIN","0.97496441588737"
"2000","6.7","0.2","0.42","14","0.038","83","160","0.9987","3.16","0.5","9.4","6","WHITE","VALIDATE","0.49664566735737"
"2001","7","0.21","0.34","8.5","0.033","31","253","0.9953","3.22","0.56","10.5","6","WHITE","VALIDATE","0.37310600257478"
"2003","5.9","0.35","0.47","2.2","0.11","14","138","0.9932","3.09","0.5","9.1","5","WHITE","TEST","0.16545034619048"
"2004","7.1","0.28","0.44","1.8","0.032","32","107","0.9907","3.25","0.48","12.2","7","WHITE","TEST","0.09616838372312"
"2003","5.8","0.25","0.28","11.1","0.056","45","175","0.99755","3.42","0.43","9.5","5","WHITE","TRAIN","0.78236738918349"
"2003","6.8","0.22","0.37","15.2","0.051","68","178","0.99935","3.4","0.85","9.3","6","WHITE","TRAIN","0.79093283507972"
"2003","7.1","0.14","0.4","1.2","0.051","55","136","0.9932","3.3","0.96","9.8","7","WHITE","TRAIN","0.83841711864806"
"2004","7.1","0.13","0.4","1.2","0.047","54","134","0.9932","3.3","0.97","9.8","7","WHITE","TEST","0.09732435923069"
"2003","6.9","0.18","0.38","8.1","0.049","44","176","0.9958","3.3","0.54","9.8","6","WHITE","TEST","0.23079456295818"
"2003","7","0.2","0.38","8.1","0.05","42","173","0.99585","3.3","0.54","9.8","6","WHITE","TRAIN","0.83382935496047"
"2001","6.8","0.24","0.49","19.3","0.057","55","247","1.00055","3","0.56","8.7","5","WHITE","TRAIN","0.57593033579178"
"2001","5","0.44","0.04","18.6","0.039","38","128","0.9985","3.37","0.57","10.2","6","WHITE","TRAIN","0.64584500016644"
"2002","6.3","0.3","0.28","5","0.042","36","168","0.99505","3.22","0.69","9.5","6","WHITE","VALIDATE","0.31733384588733"
"2002","7.2","0.27","0.42","1.6","0.05","35","135","0.992","2.94","0.46","11","6","WHITE","TRAIN","0.70385117433033"
"2002","6.7","0.5","0.63","13.4","0.078","81","238","0.9988","3.08","0.44","9.2","5","WHITE","TRAIN","0.73676733113825"
"2003","6.8","0.2","0.36","1.6","0.028","7","46","0.99175","3.21","0.6","10.9","6","WHITE","TRAIN","0.78381442138925"
"2004","6.7","0.11","0.34","8.8","0.043","41","113","0.9962","3.42","0.4","9.3","7","WHITE","TRAIN","0.93200340657494"
"2001","6.7","0.11","0.34","8.8","0.043","41","113","0.9962","3.42","0.4","9.3","7","WHITE","VALIDATE","0.38089513638988"
"2004","6.8","0.12","0.31","5.2","0.045","29","120","0.9942","3.41","0.46","9.8","7","WHITE","TEST","0.0581286936067"
"2002","6.6","0.16","0.57","1.1","0.13","58","140","0.9927","3.12","0.39","9.3","7","WHITE","VALIDATE","0.30388605780899"
"2000","6.2","0.21","0.28","5.7","0.028","45","121","0.99168","3.21","1.08","12.15","7","WHITE","TRAIN","0.5032817851752"
"2002","9.6","0.32","0.47","1.4","0.056","9","24","0.99695","3.22","0.82","10.3","7","RED","TEST","0.25273843714967"
"2002","8.8","0.37","0.48","2.1","0.097","39","145","0.9975","3.04","1.03","9.3","5","RED","TEST","0.29469142388552"
"2001","6.8","0.5","0.11","1.5","0.075","16","49","0.99545","3.36","0.79","9.5","5","RED","TRAIN","0.6353051206097"
"2003","7","0.42","0.35","1.6","0.088","16","39","0.9961","3.34","0.55","9.2","5","RED","TEST","0.19583828700706"
"2004","7","0.43","0.36","1.6","0.089","14","37","0.99615","3.34","0.56","9.2","6","RED","TEST","0.06962145469151"
"2004","12.8","0.3","0.74","2.6","0.095","9","28","0.9994","3.2","0.77","10.8","7","RED","TEST","0.05049461685121"
"2004","12.8","0.3","0.74","2.6","0.095","9","28","0.9994","3.2","0.77","10.8","7","RED","TRAIN","0.94585102074779"
"2001","7.8","0.57","0.31","1.8","0.069","26","120","0.99625","3.29","0.53","9.3","5","RED","VALIDATE","0.43681541131809"
"2004","7.8","0.44","0.28","2.7","0.1","18","95","0.9966","3.22","0.67","9.4","5","RED","TRAIN","0.89188225613907"
"2002","11","0.3","0.58","2.1","0.054","7","19","0.998","3.31","0.88","10.5","7","RED","VALIDATE","0.34208342153579"
"2001","9.7","0.53","0.6","2","0.039","5","19","0.99585","3.3","0.86","12.4","6","RED","TRAIN","0.61666504689492"
"2004","8","0.725","0.24","2.8","0.083","10","62","0.99685","3.35","0.56","10","6","RED","TEST","0.12870573438704"
"2002","11.6","0.44","0.64","2.1","0.059","5","15","0.998","3.21","0.67","10.2","6","RED","TRAIN","0.73635652917437"
"2001","8.2","0.57","0.26","2.2","0.06","28","65","0.9959","3.3","0.43","10.1","5","RED","TRAIN","0.6432395488955"
"2002","7.8","0.735","0.08","2.4","0.092","10","41","0.9974","3.24","0.71","9.8","6","RED","TRAIN","0.70024486794136"
"2004","7","0.49","0.49","5.6","0.06","26","121","0.9974","3.34","0.76","10.5","5","RED","TRAIN","0.88162328721955"
"2003","8.7","0.625","0.16","2","0.101","13","49","0.9962","3.14","0.57","11","5","RED","TEST","0.20543059171177"
"2005","8.1","0.725","0.22","2.2","0.072","11","41","0.9967","3.36","0.55","9.1","5","RED","TEST","0.03294659126549"
"2003","7.5","0.49","0.19","1.9","0.076","10","44","0.9957","3.39","0.54","9.7","5","RED","TEST","0.22229910595342"
"2004","7.8","0.53","0.33","2.4","0.08","24","144","0.99655","3.3","0.6","9.5","5","RED","TEST","0.10169305722229"
"2004","7.8","0.34","0.37","2","0.082","24","58","0.9964","3.34","0.59","9.4","6","RED","TRAIN","0.89339366205967"
"2001","7.4","0.53","0.26","2","0.101","16","72","0.9957","3.15","0.57","9.4","5","RED","TRAIN","0.61011580564081"
"2002","6.8","0.61","0.04","1.5","0.057","5","10","0.99525","3.42","0.6","9.5","5","RED","TEST","0.26522598881274"
"2000","8.6","0.645","0.25","2","0.083","8","28","0.99815","3.28","0.6","10","6","RED","VALIDATE","0.48800405394285"
"2003","8.4","0.635","0.36","2","0.089","15","55","0.99745","3.31","0.57","10.4","4","RED","TRAIN","0.83059376757591"
"2000","7.7","0.43","0.25","2.6","0.073","29","63","0.99615","3.37","0.58","10.5","6","RED","VALIDATE","0.45920492173172"
"2003","8.9","0.59","0.5","2","0.337","27","81","0.9964","3.04","1.61","9.5","6","RED","TRAIN","0.77266447711735"
"2001","9","0.82","0.14","2.6","0.089","9","23","0.9984","3.39","0.63","9.8","5","RED","TRAIN","0.60575540270656"
